"course_code","course_title","department","credits","description"
"GEN_LA 111-3","Introductory Topics in Language Study III","General Liberal Arts (GEN_LA)","1 Unit","Registration for students studying a foreign language through CourseShare at the introductory level. Permission required in advance."
"GEN_LA 114-0","Internship","General Liberal Arts (GEN_LA)","0 Unit","Restricted to Weinberg College students who need documentation of an internship on their transcripts. Requires approval of the associate dean for undergraduate academic affairs. Contact college advisers for more information."
"GEN_LA 121-1","Intermediate Topics in Language Study I","General Liberal Arts (GEN_LA)","1 Unit","Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance."
"GEN_LA 121-2","Intermediate Topics in Language Study II","General Liberal Arts (GEN_LA)","1 Unit","Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance."
"GEN_LA 121-3","Intermediate Topics in Language Study III","General Liberal Arts (GEN_LA)","1 Unit","Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance. Does not automatically satisfy the Weinberg College foreign language proficiency requirement."
"GEN_LA 131-1","Advanced Topics in Language Study I","General Liberal Arts (GEN_LA)","1 Unit","Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance."
"GEN_LA 131-2","Advanced Topics in Language Study II","General Liberal Arts (GEN_LA)","1 Unit","Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance."
"GEN_LA 131-3","Advanced Topics in Language Study III","General Liberal Arts (GEN_LA)","1 Unit","Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance."
"GEN_LA 132-0","Advanced Topics in Language Study","General Liberal Arts (GEN_LA)","0 Unit","Registration for students studying a foreign language through CourseShare at the intermediate level. Permission required in advance."
"GEN_LA 150-0","Arch Scholar Mentoring Program","General Liberal Arts (GEN_LA)","0 Unit","A weekly 1-hour workshop for first-year students in the Arch Scholar programs. Workshops will focus on academic skills, professional development, and college success strategies. Only two excused absences are allowed. Instructor permission to register is required."
"GEN_LA 160-0","UPAL: Strategies for Advancing Learning","General Liberal Arts (GEN_LA)","0 Unit","Peer-mentored weekly small-group meetings about enhanced learning strategies. Time management, study strategies, interacting with faculty, and other topics."
"GEN_LA 190-0","Science Research Workshops","General Liberal Arts (GEN_LA)","0 Unit","Support for getting integrated into lab research and applying for summer funding through the Office of Undergraduate Research with the help of a peer group leader and OUR staff. Prior acceptance into a lab or research group is required. Grade of satisfactory given to students who attend and participate in at least 7 of the weekly workshops."
