"subject","course_code","course_name","description","credits"
"Accounting","ACC 490","Independent Study","Independent study in selected topics. Maximum units a student may earn: 3 Prerequisite(s): Acceptance to a business major or minor. Grading Basis: Graded Student Learning Outcomes Upon completion of this course, students will be able to: 1. explain aspects of a specific topic in accounting in more detail to a specific professional or academic audience. 2. demonstrate understanding through written and/or oral assignments, as given by the instructor.","1 to 3 units"
"Accounting","ACC 494","Special Topics","Selected contemporary topics in accounting. Maximum units a student may earn: 6 Grading Basis: Graded Units of Lecture: 3 Student Learning Outcomes Upon completion of this course, students will be able to: 1. explain aspects of a specific topic in accounting in more detail to a specific professional or academic audience. 2. demonstrate understanding through written and/or oral assignments, as given by the instructor.","3 units"
"Accounting","ACC 601","Financial Reporting I","Conceptual framework that underlies generally accepted accounting principles and its application to the basic financial statements and current assets.","3 units"
"Accounting","ACC 602","Financial Reporting II","Conceptual framework that underlies generally accepted accounting principles and its application to the long-term assets, current and long-term liabilities, and stockholders’ equity.","3 units"
"Accounting","ACC 603","Financial Reporting III","Conceptual framework that underlies generally accepted accounting principles and its application to investments, deferred taxes, leases, pensions and the statement of cash flows.","3 units"
"Accounting","ACC 604","Advanced and International Accounting","Accounting for groups of companies. Subsidiary affiliates, joint ventures, segments and partnerships. Stock exchange regulations and reporting. International accounting. Per university policy, students may not attempt this course more than twice. Prerequisite(s): with a “C” or better or with a “C” or better. Grading Basis: Graded Units of Lecture: 3 Offered: Every Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. demonstrate a working knowledge of the more complex accounting issues related to business combinations and consolidated financial reporting. 2. analyze accounting concepts related to derivatives and international aspects of accounting. 3. research accounting pronouncements and to use their judgmental skills to provide opinions on the appropriate treatment for unfamiliar accounting problems. 4. explain the emerging issues in accounting under consideration, or subject to recent pronouncements, by professional standard setting boards.","3 units"
"Accounting","ACC 605","Cost Management and Control","Cost accounting and analysis for management control purposes. Topics including cost systems, responsibility accounting, CVP, decision making, cost behavior, variable costing, and budgeting.","3 units"
"Accounting","ACC 607","Governmental and Not-for-Profit Accounting","Accounting for governmental and not-for-profit enterprises, including municipalities, hospitals and universities. Specific topics include fund accounting, financial statement preparation and basic auditing issues.","3 units"
"Accounting","ACC 610","Federal Taxation","Analysis of the basic framework utilized in measuring and reporting taxable income of individuals and business entities.","3 units"
"Accounting","ACC 611","Advanced Federal Taxation","Introduction to the federal income taxation system applicable to measuring and reporting taxable income of limited liability business entities. Per university policy this course may be repeated only once for credit. Prerequisite(s): with a “C” or better; or with a “C” or better; in the MBA or MAcc program. Grading Basis: Graded Units of Lecture: 3 Offered: Every Fall Student Learning Outcomes Upon completion of this course, students will be able to: 1. apply the general tax rules to business income of different entities. 2. demonstrate knowledge of the basic components of federal income tax returns for incorporated and unincorporated business entities. 3. describe the tax rules associated with transactions between incorporated and unincorporated business entities and their owners. 4. communicate their understanding of current tax laws and their application to different business types.","3 units"
"Accounting","ACC 660","Commercial Transactions Law","Introduction to the legal environment governing commercial transactions. Topics will include the law of contracts, sales, commercial paper, secured transactions, and debtor-creditor relationships. Grading Basis: Graded Units of Lecture: 3 Offered: Every Fall and Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. explain the legal environment governing commercial transactions. 2. discuss the framework of law, relevant crimes, torts, contracts, sales, property, commercial paper, secured transactions, and debtor-creditor relationships.","3 units"
"Accounting","ACC 670","Audit Assurance Services","Foundations of auditing theory. Professional auditing in a risk analysis framework. Focus on application and skill development.","3 units"
"Accounting","ACC 675","Ethics and Professional Responsibility in Accounting","Topics that will be covered in this course include ethical theory and decision making, ethical behavior in accounting, rules and principles of the code of conduct and ethical decision making in various accounting topics. Students may attempt this course not more than twice. Prerequisite(s): or with a “C” or better. Grading Basis: Graded Units of Lecture: 3 Student Learning Outcomes Upon completion of this course, students will be able to: 1. explain the function of ethics and professional responsibilities in accounting. 2. demonstrate ethical reasoning by utilizing ethical decision making processes. 3. apply AICPA standards and IRS rules regarding ethical dilemmas faced by CPAs in practice. 4. demonstrate mastery of critical thinking and effective writing as it pertains to professional responsibility in accounting. 5. utilize the AICPA Code of Professional Conduct as well as foundational ethical theory as an approach for identifying and analyzing ethical issues - especially with regard to current events.","3 units"
"Accounting","ACC 701","Intermediate Accounting I","This course provides students with technical knowledge in accounting beyond the introductory accounting and business courses. Specifically, it covers the following topics: the conceptual framework that underlies generally accepted accounting principles; accounting cycle; balance sheet, income statement & statement of cash flows; revenue recognition; cash, accounts receivables; long-term assets; and inventory costing methods.","3 units"
"Accounting","ACC 702","Intermediate Accounting II","This course provides students with technical knowledge in accounting beyond the introductory accounting and business concepts. Specifically, it covers the following topics: current and long-term liabilities; stockholders’ equity; earnings per share; share-based compensation; accounting for income taxes; error corrections; accounting changes; and the statement of cash flows. Maximum units a student may earn: 3 Prerequisite(s): Admission to the online Master of Accountancy program; “C” or better in . Grading Basis: Graded Units of Lecture: 3 Offered: Every Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. explain financial reporting concepts related to liabilities, equity, earnings per share, share-based compensation, income taxes, accounting changes, error corrections and cash flows. 2. analyze complex accounting problems. 3. discuss and explain issues that are facing the accounting profession currently. 4. use technical skills related to accounting issues that have wide general application.","3 units"
"Accounting","ACC 703","Intermediate Accounting III","Conceptual framework that underlies generally accepted accounting principles and its application to investments, deferred taxes, leases, pensions and the statement of cash flows. Per university policy, this course may be repeated only once for credit. Prerequisite(s): with a “C” or better; admission to the online MAcc program Grading Basis: Graded Units of Lecture: 3 Offered: Every Fall, Spring, and Summer Student Learning Outcomes Upon completion of this course, students will be able to: 1. explain the conceptual framework of U.S. GAAP. 2. analyze complex accounting problems. 3. discuss and explain issues that are facing the accounting profession currently. 4. demonstrate technical skills related to accounting issues that have wide general application.","3 units"
"Accounting","ACC 705","Cost Accounting","Cost accounting, analysis for management control purposes, and auditing concerns. Topics include CVP, budgeting, responsibility accounting, relevant decision-making, auditor independence, fraud concerns, corporate governance, and internal controls. Per university policy this course may be repeated only once for credit. Maximum units a student may earn: 3 Prerequisite(s): Admission to the online MAcc program. Grading Basis: Graded Units of Lecture: 3 Offered: Every Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. develop and enhance skills as a managerial accountant, auditor, and businessperson. 2. identify cost terms and concepts, including behavior, and apply them correctly. 3. apply the importance of budgeting to budgetary decisions. 4. apply cost, volume, and profit (CVP) techniques correctly. 5. analyze cost accounting data to master decision-making. 6. identify auditor independence concerns. 7. apply the fraud triangle to situations. 8. explain and analyze internal controls and management control systems.","3 units"
"Accounting","ACC 710","Federal Taxation","Students are introduced to the federal tax system that will enable them to analyze the basic framework utilized in measuring and reporting taxable income of individuals and business entities.","3 units"
"Accounting","ACC 750","Accounting Seminar","Seminar in selected accounting topics. Per university policy, students may not attempt this course more than twice. Grading Basis: Graded Units of Lecture: 3 Student Learning Outcomes Upon completion of this course, students will be able to: 1. demonstrate an understanding of the business environment and accounting information. 2. demonstrate an understanding of the special accounting topic(s) covered in the course. 3. effectively communicate (in writing and in presentation) a comprehensive financial statement analysis of a company.","3 units"
"Accounting","ACC 759","Accounting Theory and Research","This course covers theories of accounting and business as well as researching a variety of business topics. It also addresses the application of these theories to contemporary accounting and business issues.","3 units"
"Accounting","ACC 770","Advanced Audit","This course provides an overview of the auditing concepts and professional responsibilities, with a focus on the role of information technology (IT) and emerging modern technologies in audit processes and risks. Per University policy this course may be repeated only once for credit. Maximum units a student may earn: 3 Prerequisite(s): Admission to the online MAcc program; with a “C” or better; with a “C” or better. Grading Basis: Graded Units of Lecture: 3 Offered: Every Fall Student Learning Outcomes Upon completion of this course, students will be able to: 1. explain the core concepts and professional standards of auditing, including ethical principles, audit objectives, evidence, documentation, and reporting. 2. identify and assess the risks and materiality of an audit engagement, and design appropriate audit procedures and tests to address them. 3. evaluate the design and effectiveness of internal controls in an organization and understand the role and impact of information technology on internal controls and audit risks. 4. utilize innovative technology in audits.","3 units"
"Accounting","ACC 780","Accounting Research","Introduction to research studying the role of financial accounting in efficient capital markets. Applies academic research to issues facing accounting practitioners. Per university policy, students may not attempt this course more than twice. Prerequisite(s): or ; graduate standing. Grading Basis: Graded Units of Lecture: 3 Offered: Every Fall Student Learning Outcomes Upon completion of this course, students will be able to: 1. use the FASB codification and IFRS to research proper financial accounting treatment for a variety of complex topics. 2. research and discuss tax issues using the tax code, Treasury regulations, court cases, and other sources. 3. write thorough but concise memos and client letters summarizing the research. 4. describe results of research to colleagues in presentations.","3 units"
"Accounting","ACC 783","Taxation of Corporations","Taxation of C corporations; issues regarding formation, reorganizations, and liquidation; transactions between Corporations and their owners. Per university policy, students may not attempt this course more than twice. Prerequisite(s): or ; graduate standing. Grading Basis: Graded Units of Lecture: 3 Offered: Every Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. outline main tax issues concerning formation, operation, and liquidation of regular C corporations. 2. prepare a basic financial statement footnote pertaining to the income tax accrual. 3. describe the main possibilities for corporate reorganizations as well as the associated tax consequences.","3 units"
"Accounting","ACC 789","Federal Income Taxation: Policy Issues","Analysis of social and economic issues relating to the selection of a tax base, the tax rate structure, and corporate integration. Addresses common tax issues encountered by managers and other decision makers. Per university policy, students may not attempt this course more than twice. Grading Basis: Graded Units of Lecture: 3 Student Learning Outcomes Upon completion of this course, students will be able to: 1. explain how taxes affect decision makers and taxpayer behavior. 2. analyze the impact of tax policy on economics and the capital market. 3. recall and describe examples of how taxes can be and are used to impact individual and entity behavior.","3 units"
"Accounting","ACC 790","Independent Study","Independent study in selected topics. Maximum units a student may earn: 3 Grading Basis: Graded Units of Independent Study: 3 Student Learning Outcomes Upon completion of this course, students will be able to: 1. explain aspects of a specific topic in accounting in more detail to a specific professional or academic audience.","3 units"
"Accounting","ACC 794","Special Topics","Selected contemporary advanced topics in the discipline of accounting. Maximum units a student may earn: 9 Grading Basis: Graded Offered: Every Fall Student Learning Outcomes Upon completion of this course, students will be able to: 1. explain aspects of a specific topic in accounting in more detail to a specific professional or academic audience.","1 to 3 units"
"Aerospace Engineering","AE 334","Aerospace Structures and Materials","Application to structural analysis. Basic equations of elasticity. Bending, shearing and torsion of thin walled structures. Energy methods for structural analysis and application to finite element theory for trusses and beam structures.  Lab introduces CAD software. Maximum units a student may earn: 4 Prerequisite(s): with “C” or better; Grading Basis: Graded Units of Lecture: 3 Units of Laboratory/Studio: 1 Offered: Every  Fall Student Learning Outcomes Upon completion of this course, students will be able to: 1. identify, formulate, and solve complex engineering problems by applying principles of engineering, science, and mathematics. 2. communicate effectively with a range of audiences. 3. acquire and apply new knowledge as needed, using appropriate learning strategies.","4 units"
"Aerospace Engineering","AE 345","Flight Mechanics","Basics of airplane flight including climb, cruise, takeoff, and landing. Introduces orbital mechanics, orbit determination, and spacecraft maneuvers. Maximum units a student may earn: 3 Prerequisite(s): with a “C” or better; Corequisite(s): Grading Basis: Graded Units of Lecture: 3 Offered: Every Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. identify, formulate, and solve complex engineering problems by applying principles of engineering, science, and mathematics. 2. acquire and apply new knowledge as needed, using appropriate learning strategies.","3 units"
"Aerospace Engineering","AE 370","Space Environment","Introduction to the environment in which spacecraft and astronauts operate and the impact on spacecraft design.  Coverage of the space environment surrounding the Earth containing electrical and radiation effects on spacecraft performance. Prediction of radiation effects on satellite components using numerical analysis tools.  Methods for selecting tolerant satellite components. Environmental qualification testing needed for satellite.  Intensive coverage of the earth-sun-lunar system. Maximum units a student may earn: 3 Prerequisite(s): with “C” or better; with “C” or better Grading Basis: Graded Units of Lecture: 3 Offered: Every Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. identify, formulate, and solve complex engineering problems by applying principles of engineering, science, and mathematics. 2. acquire and apply new knowledge as needed, using appropriate learning strategies.","3 units"
"Aerospace Engineering","AE 381","Introduction to Aerodynamics","Aerodynamics concepts such as drag, lift, boundary-layer theory, introduction to potential flow, and introduction to compressible flow are covered in this course. Maximum units a student may earn: 3 Prerequisite(s): Grading Basis: Graded Units of Lecture: 3 Offered: Every Spring Student Learning Outcomes Upon completion of this course, students will be able to: 1. identify, formulate, and solve complex engineering problems by applying principles of engineering, science, and mathematics. 2. acquire and apply new knowledge as needed, using appropriate learning strategies.","3 units"
"Aerospace Engineering","AE 412","Jet and Rocket Propulsion","Principles of jet and rocket propulsion. Maximum units a student may earn: 3 Prerequisite(s): . Grading Basis: Graded Units of Lecture: 3 Offered: Every Fall Student Learning Outcomes Upon completion of this course, students will be able to: 1. identify, formulate, and solve complex engineering problems by applying principles of engineering, science, and mathematics. (ABET SLO 1) 2. acquire and apply new knowledge as needed, using appropriate learning strategies. (ABET SLO 7)","3 units"
