"code","level","title","credits","subject","description"
"ASTR2115","lowerDivisionUndergraduate","General Astronomy II",3,"Astronomy","Students will learn about stars, our own Milky Way Galaxy, other galaxies and everything else in the Universe. This course will describe the nature of the Universe starting with stars and working up through star clusters, galaxies, clusters of galaxies and superclusters. Black holes, pulsars, supernovae, dark matter, the expanding Universe and other fascinating astronomical topics will also be explored. We will use math and physics as we explore the Universe. We will practice problem solving skills and discuss the methods and observations on which our understanding is based. The second course of a two-part sequence.
"
"ASTR2115L","lowerDivisionUndergraduate","General Astronomy II Laboratory",1,"Astronomy","Students learn how to carry out astronomical observations using actual telescopes. Students learn the basics of the celestial sphere, telescope design and characteristics planning observations, astronomical data reduction, how to make measurements from astronomical data, interpreting results, and writing reports. The topics of the lab are aligned with 2115. Three hours lab. 
"
"ASTR2996","lowerDivisionUndergraduate","Topics","{'min': 1, 'max': 6}","Astronomy","A course exploring a topic not covered by the standard curriculum but of interest to faculty and students in a particular semester."
"ATED501","graduateExclThesisDissertations","Principles of Evidence-Based Practice in Athletic Training",1,"Athletic Training","Introduction to the concepts of evidence-based practice and its role in decision making within athletic training clinical practice.
Restriction: admitted to MS in Athletic Training program."
"ATED502","graduateExclThesisDissertations","Principles of Clinical Examination",3,"Athletic Training","This course provides the student with a systematic process for prevention, preparedness, examination, diagnosis, and treatment of patients. Students will develop an understanding of basic principles and skills to clinically evaluate and diagnosis patients.
Restriction: admitted to MS in Athletic Training program."
"ATED503","graduateExclThesisDissertations","Principles of Clinical Practice",3,"Athletic Training","Introduction to essential clinical skills required for athletic training clinical practice, including immediate care, documentation, and application of taping, wrapping, and protective equipment.
Restriction: admitted to MS in Athletic Training program."
"ATED510","graduateExclThesisDissertations","Clinical Examination and Diagnosis of the Extremities",6,"Athletic Training","This course provides the student with assessment techniques and procedures to a systematically evaluate and diagnosis patients with extremity injuries/illnesses.
Restriction: admitted to MS in Athletic Training program."
"ATED511","graduateExclThesisDissertations","Therapeutic Interventions: Therapeutic Modalities",4,"Athletic Training","An evidence-based approach to the selection and application of therapeutic modalities. Includes foundational principles of tissue injury and healing and the selection of therapeutic interventions appropriate for different phases of healing.
Restriction: admitted to MS in Athletic Training program."
"ATED512","graduateExclThesisDissertations","Emergency Response in Athletic Training",4,"Athletic Training","This course is designed to instruct students in the best practices relative to the assessment and management procedures to effectively manage medical emergencies and other critical incidents.
Restriction: admitted to MS in Athletic Training program."
"ATED513","graduateExclThesisDissertations","Research in Athletic Training",3,"Athletic Training","This course is designed to provide the athletic training student with foundations of research in athletic training to facilitate evidence-based practice and delivery of effective patient care.
Restriction: admitted to MS in Athletic Training program."
"ATED514","graduateExclThesisDissertations","Clinical Examination and Diagnosis of the Trunk and Torso",5,"Athletic Training","This course provides the student with assessment techniques and procedures to a systematically evaluate and diagnosis patients with injuries/illnesses to the trunk and torso and brain.
Restriction: admitted to MS in Athletic Training program."
"ATED515","graduateExclThesisDissertations","Evaluation and Management of General Medical Conditions",4,"Athletic Training","This course introduces etiology and management of non-orthopedic pathology in patients seen by athletic trainers. Topics include cardiology, pulmonology, neurology, and other systems. Students will work in conjunction with other healthcare professionals to provide care.
Restriction: admitted to MS in Athletic Training program."
"ATED520","graduateExclThesisDissertations","Clinical Education Experience I",2,"Athletic Training","This course introduces the student to the professional environment in which athletic trainers work. The student will engage in professional activities and with preceptors and other healthcare professionals to provide care under direct supervision.
Restriction: admitted to MS in Athletic Training program."
"ATED521","graduateExclThesisDissertations","Clinical Education Experience II",2,"Athletic Training","This course progresses the student to intermediate clinical practice in athletic training. The student will engage in working on advancing professional clinical and administrative skills with preceptors and other healthcare professionals under direct supervision.
Restriction: admitted to MS in Athletic Training program.
"
"ATED599","thesis_599","Master's Thesis","{'min': 1, 'max': 6}","Athletic Training","Development of a research project reflective of advanced inquiry in athletic training. 
Restriction: admitted to MS in Athletic Training program on Plan I (thesis)."
"ATED601","graduateExclThesisDissertations","Therapeutic Interventions: Manual Therapy Techniques",1,"Athletic Training","Instruction and critical analysis of manual therapy techniques used in the athletic training clinical setting. Students will learn how to select, apply, and integrate manual therapy into a patient's plan of care.
Restriction: admitted to MS in Athletic Training program."
"ATED602","graduateExclThesisDissertations","Pharmacology in Athletic Training",2,"Athletic Training","This course introduces the pharmacokinetics, pharmacodynamics, selection, and monitoring of pharmacological aids utilized to treat patients seen by athletic trainers. Course material is built upon knowledge gained in AT 515.
Restriction: admitted to MS in Athletic Training program."
"ATED603","graduateExclThesisDissertations","Behavioral Health and Wellness in Athletic Training",2,"Athletic Training","A survey of health and wellness considerations in athletic training clinical practice, including the identification, prevention, and treatment of general health. Emphasis on identification and management of patients with behavioral health conditions.
Restriction: admitted to MS in Athletic Training program."
"ATED604","graduateExclThesisDissertations","Advanced Concepts in Clinical Examination",1,"Athletic Training","The student will utilize a systematic evaluation approach and apply advance concepts in evaluation to assess a patient based on the clinical presentation.
Restriction: admitted to MS in Athletic Training program."
"ATED610","graduateExclThesisDissertations","Athletic Training Administration",3,"Athletic Training","Administrative concepts in athletic training, including development of policies and procedures, management of healthcare facilities, legal and professional behavior, health care teams and systems, quality improvement, and professional development.
Restriction: admitted to MS in Athletic Training program."
"ATED611","graduateExclThesisDissertations","Therapeutic Interventions: Rehabilitative Exercise",5,"Athletic Training","This course provides the fundamental components of comprehensive individualized rehabilitation program. Course topics include the development of therapeutic goals, selection of therapeutic exercises, evaluation of rehabilitation progress, and development of criteria for progression.
Restriction: admitted to MS in Athletic Training program."
"ATED620","graduateExclThesisDissertations","Clinical Education Experience III",3,"Athletic Training","This course progresses the student to advanced clinical practice in athletic training. The student will engage in working on advancing professional clinical and administrative skills with preceptors and other healthcare professionals under direct supervision.
Restriction: admitted to MS in Athletic Training program."
"ATED621","graduateExclThesisDissertations","Immersive Clinical Experience",6,"Athletic Training","This course progresses the student to towards autonomous clinical practice in athletic training. The student will engage in immersive professional clinical practice with preceptors under direct supervision utilizing patient-rated outcomes to make healthcare decisions.
Restriction: admitted to MS in Athletic Training program."
"BCIS1110","lowerDivisionUndergraduate","Fundamentals of Information Literacy and Systems",3,"Business Computer & Information Systems","Examination of information systems and their impact on commerce, education, and personal activities. Utilization of productivity tools for communications, data analysis, information management and decision-making.
Course cannot apply to major or minor in Computer Science. 
"
"BIOC400","upperDivisionUndergraduate","Mentoring for Biochemistry and Biomedical Careers","1","Biochemistry","An interactive course designed to provide you with mentorship through professional development seminars. Experts will offer advice, professional inspiration, and insights into diverse career paths within Biochemistry and related fields, while also guiding you in crafting your Career Development Plan."
