"subject","course_code","course_name","description","credits"
"","AGC 5220","Classroom Communication Skills for Teaching Assistants","The major emphasis in this class is on developing the classroom communication skills necessary for effective teaching, which include fluency, use of discourse markers, the structural control needed for defining and explaining, and responding to questions. In addition, considerable attention is given to the communication skills necessary for effective interaction with undergraduate students, to meeting the communication needs of both the class as a whole and the individual student, and to the awareness of expectations of Teaching Assistants.   Requisites:   Repeat/Retake Information: May be repeated for a maximum of 9.0 hours.  Lecture/Lab Hours: 3.0 seminar  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to effectively organize and deliver presentations for different types of classroom interaction.Students will be able to speak clearly in different types of classroom interaction.Students will be able to demonstrate effective interactional skills for different types of classroom interaction.Students will be able to respond effectively to classroom questions.","3"
"","AGC 5300","Oral Communication in Graduate Studies","The goal of this highly interactive course is to equip students with the oral communication skills and confidence needed to succeed in professional and academic communities. Students explore strategies for effective public speaking and implement those strategies through a variety of presentations and group discussion projects. Other topics include oral summaries and presenting to diverse audiences.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 seminar  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to effectively organize and deliver presentations, including to diverse audiences.Students will be able to create and use effective visual aids.Students will be able to summarize and synthesize information from various sources.Students will be able to effectively lead and participate in group discussions on professional and/or academic topics, to diverse audiences.","3"
"","AGC 5320","Presenting in Research & Professional Contexts","The goal of this course is to help students refine their communication and presentation skills for graduate and post-graduate work. Topics include defending a thesis/dissertation proposal, presenting at a conference/job talk, giving a poster session, and performing in an interview. Creating and effectively using slides and/or handouts will also be covered. In addition, organizing ideas, using clear discourse markers, using nonverbal language effectively, and maintaining a strong presentation presence will be integral to the course.   Requisites:   Repeat/Retake Information: May be repeated for a maximum of 6.0 hours.  Lecture/Lab Hours: 3.0 seminar  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to speak confidently and coherently in high-stakes environments such as defenses, interviews, presentations, or poster sessions.Students will be able to effectively use discourse markers, nonverbal language, and strong organization for coherent presentations.Students will be able to answer effectively and clearly potential defense and interview questions.Students will be able to create and use effective slides and handouts for presentations.","3"
"","AGC 6000","Special Studies in Graduate Writing","Directed individual investigation and practice of particular area of interest in graduate writing.   Requisites:   Repeat/Retake Information: May be repeated for a maximum of 10.0 hours.  Lecture/Lab Hours: 1.0 tutorial  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students should be able to apply the concepts of specialized study to their graduate writing.","1"
"","AGC 6100","Special Studies in Oral Communication","Directed individual investigation and practice of particular area of interest in graduate writing.   Requisites:   Repeat/Retake Information: May be repeated for a maximum of 10.0 hours.  Lecture/Lab Hours: 1.0 tutorial  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students should be able to apply the concepts of specialized study to their oral communiation skills.","1"
"","AGC 6900","Special Topics in Academic Communication","The course guides students through practical application of academic and professional communication skills based on their interests and communication needs.   Requisites:   Repeat/Retake Information: May be repeated.  Lecture/Lab Hours: 1.0 lecture  Grades: Eligible Grades: A-F,CR,PR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Students will be able to communicate in speech and/or writing in an academic and professional style.","1 - 15"
"","AH 5101","Contemporary Art History","Overview of international art of recent decades. Focus is on the contemporary period starting with pop and minimal art and continuing to the present.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,PR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Be able to critically assess and comment on own writing and writing of others.Demonstrate critical thinking and viewing of texts and art works.Demonstrate familiarity with critical debates and issues raised in the art world.Demonstrate interpretative skills through oral presentations and written works.Develop advanced knowledge of scholarly resources appropriate to research topics, including printed and electronic sources.Develop ideas for advanced research projects and be able to apply strategies of revision.","3"
"","AH 5111","The Representation and Theorization of Gender in the History of Art","Looks at how gender and gender relationships are depicted in the history of art. Examines the theories and methodologies of gender construction. Covers a variety of eras in order to explore the nuances of gender construction in history, beginning with the prehistoric period and ending with the contemporary period.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,PR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Analyze and interpret theoretical and critical explorations of the construction of gender and identity in visual culture.Be able to synthesize and analyze visual manifestations and constructions of gender by writing a research paper.Become familiar with a range of images and art that have addressed gender and identity.Demonstrate interpretative skills through oral presentations and written works.","3"
"","AH 5161","Arts of Medieval China (400-1300)","The subject is the arts of the medieval period in China, from the 5th- to the 14th- century. The objects studied include ceramic and bronze vessels, stone and terracotta sculptures, Buddhist cave art, calligraphy and ink painting, and printed books. The concept “appropriation” will be engaged for the interpretative understanding of especially Buddhist art and of the practices of calligraphy and ink painting.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,PR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Be able to critically assess and comment on own writing and writing of others.Become familiarized with major works of medieval Chinese art.Demonstrate advanced critical thinking and viewing of texts and art works.Demonstrate advanced interpretative skills through oral presentations and written works.Demonstrate advanced knowledge of scholarly resources appropriate to research topics, including printed and electronic sources.Learn the importance of diversity and plurality in the study of art from a specific time and place.","3"
"","AH 5171","Arts of Early Modern China (1500-1700)","The subject is the arts of the early modern period in China, from the 16th- to the 18th- century. The objects studied include calligraphy and ink paintings, lacquer and porcelain, illustrated books, and landscapes architecture. Will introduce two sets of linked concepts, agency and artistic imagination, economic globalization and cultural hybridity, concepts that will frame interpretive understanding of the objects.   Requisites:   Repeat/Retake Information: May not be retaken.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,PR,WP,WF,WN,FN,AU,I  Learning Outcomes:  Be able to critically assess and comment on own writing and writing of others.Demonstrate advanced critical thinking and viewing of texts and art works.Demonstrate advanced knowledge of scholarly resources appropriate to research topics, including printed and electronic sources.Demonstrate ideas for advanced research projects and be able to apply strategies of revision.Explore arts through a variety of contexts.Learn the significance of diversity and plurality in the study of art from a specific time and place.","3"
