"course_code","course_title","credits","description"
"ENG 332","ENG 332","3 CRS",""
"ENG 333","ENG 333","3 CRS",""
"ENG 334","ENG 334","3 CRS",""
"ENG 335","ENG 335","3 CRS",""
"ENG 336","ENG 336","3 CRS",""
"ENG 337","ENG 337","3 CRS",""
"ENG 338","ENG 338","3 CRS",""
"ENG 339","ENG 339","3 CRS",""
"ENG 340","ENG 340","3 CRS",""
"ENG 345","ENG 345","3 CRS",""
"ENG 346","ENG 346","3 CRS",""
"ENG 350/351","ENG 350/351","3 CRS",""
"ENG 353","ENG 353","3 CRS",""
"ENG 358","ENG 358","3 CRS",""
"ENG 360","ENG 360","3 CRS",""
"ENG 371","ENG 371","3 CRS",""
"ENG 372","ENG 372","3 CRS",""
"ENG 373","ENG 373","3 CRS",""
"ENG 381","ENG 381","3 CRS",""
"ENG 382","ENG 382","3 CRS",""
"ENG 383","ENG 383","3 CRS",""
"ENG 384","ENG 384","3 CRS",""
"ENG 391","ENG 391","3 CRS",""
"ENG 392","ENG 392","3 CRS",""
"ENG 393","ENG 393","3 CRS",""
"ENG 394","ENG 394","3 CRS",""
"ENG 395","ENG 395","3 CRS",""
"ENG 3xx","ENG 3xx","",""
"AFN 101","AFN 101","2 CRS",""
"AFN 102","AFN 102","2 CRS",""
"AFN 121","AFN 121","3 CRS",""
"AFN 122","AFN 122","3 CRS",""
"AFN 123","AFN 123","3 CRS",""
"AFN 124","AFN 124","3 CRS",""
"AFN 126","AFN 126","3 CRS",""
"AFN 127","AFN 127","3 CRS",""
"AFN 128","AFN 128","3 CRS",""
"AFN 129","AFN 129","3 CRS",""
"AFN 130","AFN 130","3 CRS",""
"AFN 152","AFN 152","3 CRS",""
"AFN 154","AFN 154","3 CRS",""
"AFN 253","AFN 253","3 CRS",""
"AFN 256","AFN 256","3 CRS",""
"AFN 321","AFN 321","3 CRS",""
"AFN 322","AFN 322","3 CRS",""
"AFN 338","AFN 338","3 CRS",""
"AFL 111","AFL 111","3 CRS",""
"AFL 112","AFL 112","3 CRS",""
"AFL 113","AFL 113","3 CRS",""
"AFL 151","AFL 151","3 CRS",""
"AFL 161","AFL 161","3 CRS",""
"AFL 210","AFL 210","3 CRS",""
"ASN 111","ASN 111","3 CRS",""
"ASN 114","ASN 114","3 CRS",""
"ASN 129","ASN 129","3 CRS",""
"ASN 211","ASN 211","3 CRS",""
"ASN 214","ASN 214","3 CRS",""
"ASN 225","ASN 225","3 CRS",""
"ASN 339","ASN 339","3 CRS",""
"ETH 100","ETH 100","3 CRS",""
"ETH 125","ETH 125","3 CRS",""
"ETH 211","ETH 211","3 CRS",""
"ETH 300","ETH 300","3 CRS",""
"GLS 100","GLS 100","3 CRS",""
"LAT 124","LAT 124","3 CRS",""
"LAT 125","LAT 125","3 CRS",""
"LAT 127","LAT 127","3 CRS",""
"LAT 128","LAT 128","3 CRS",""
"LAT 130","LAT 130","3 CRS",""
"LAT 131","LAT 131","3 CRS",""
"LAT 140","LAT 140","3 CRS",""
"LAT 141","LAT 141","3 CRS",""
"LAT 150","LAT 150","3 CRS",""
"LAT 151","LAT 151","3 CRS",""
"LAT 152","LAT 152","3 CRS",""
"LAT 200","LAT 200","3 CRS",""
"LAT 233","LAT 233","3 CRS",""
