"subject","course_code","course_name","description","credits"
"Accounting","ACCT 4500","Accounting for Non-Business Entities and Contemporary Professional Issues","Accounting theory for governmental and nonprofit organizations:  financial reporting; fund accounting; budgeting and control; contemporary accounting issues.   Requisites: ACCT 3040 and (Jr or Sr)   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Students will acquire fundamental understanding of accounting and auditing issues relating to Federal Government entities and programs.Students will acquire fundamental understanding of accounting and auditing issues relating to Not for Profit and similar entities.Students will acquire fundamental understanding of accounting and auditing issues relating to State and Local Government entities.Students will acquire fundamental understanding of accounting and auditing issues relating to contemporary professional issues.Students will acquire fundamental understanding of accounting and auditing issues relating to public and similar entities.Students will acquire fundamental understanding of accounting and auditing issues relating to regulated and similar entities.","3"
"Accounting","ACCT 4520","Advanced Auditing","Auditing theory and practice with emphasis on current issues, professional standards, ethics, legal liability, special reports, special industries, and advanced auditing techniques.   Requisites: ACCT 4200   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Advanced auditing techniques.Current issues in Auditing.Professional Standards for CPAs.","3"
"Accounting","ACCT 4600","Multiple-Entity Accounting and Tax Planning","Acct 4600

Multiple-Entity Accounting and Tax Planning focuses on business combinations and consolidations.  It will include financial accounting and reporting, foreign currency transactions and translation, and tax implications of business combinations.  As the capstone course for the accounting major, we will include discussions of the accountant’s role in society.  In particular, the accountant’s role in ethical conduct, civility, leadership and sustainability will be an integral part of this course.  The course is designed to motivate students for the accounting profession, promote technical competency, develop life-long research skills, advance critical thinking, and foster the development of communication skills. 

The primary references for this class are the Accounting Standards Codification and handouts posted on the class forum.   Requisites: ACCT 3050 and ACCT 3400 and Sr   OHIO BRICKS: Capstone: Capstone or Culminating Experience  General Education Code (students who entered prior to Fall 2021-22): 3  Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Students will explain the impact of sustainability initiatives on organizations and the accounting profession’s practices and responsibilities.Students will identify and explain civil and uncivil behavior and propose civil solutions to conflict situations.Students will identify and propose responses and solutions to ethical dilemmas.Students will learn how calculate the effect of initial business combinations and the subsequent related significant intercompany transactions with and without tax implications.Students will learn how to prepare the analysis of investment, consolidating worksheet, and consolidated financial statements, including presentation and disclosure issues.Students will organize and lead a team project and provide constructive feedback to team members.Students will use authoritative literature to prepare advising memos and presentations to a client on the proper treatment of an acquisition related issue.","3"
"Accounting","ACCT 4700","Data Analytics for Accounting","This course covers the analysis of data as it pertains to accounting professionals.  The focus of this course includes both analytic techniques for decision making and the examination of big data involving accounting information.  Hands-on experiences develop skills with select software tools used in data analytics for accounting professionals.  This course challenges students to think critically about whether and how data improves business performance, creates opportunities, and/or creates risks.  In-depth discussion and skill development is concentrated on analysis and use of the data acquired.  Students gain experience with the technology used for data analysis in the accounting profession.  Project-oriented computer-based assignments are used in this course to enhance a student’s knowledge and skills. Please keep in mind that this is not a computer course. However, it does require extensive use of the computer as a tool.   Requisites: ACCT 3040   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 3.0 lecture  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Students will be able to use data analytics to solve accounting and business related problems using appropriate data modeling tools.Students will be able to identify how data is collected, created, stored, and shared by technology.Students will be able to identify and evaluate the different sources of unstructured and structured data for use in analysis.Students will be able to create visualizations of data to provide clear insights into associations, relationships, outliers and other data related to accounting information.Students will be able to identify business risks and ethical issues related to data collection, storage, and use.","3"
"Accounting","ACCT 4900","Special Topics in Accounting","Selected topics of current interest in accounting area. Course will be research based. Deliverables may include exams, research papers, and case studies.   Requisites: Permission required   Repeat/Retake Information: May be repeated for a maximum of 9.0 hours.  Lecture/Lab Hours: 3.0 seminar  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Selected topics of current interest in accounting area.","1 - 3"
"Accounting","ACCT 4910","Internship","Internship experience that provides opportunities to learn by participating in day-to-day accounting activities of a business or governmental concern for at least three consecutive weeks (120 hours needed to earn 1 credit hour). Intended for public accounting, corporate accounting, or State-level auditing internship experiences following the sophomore year.   Requisites: Permission required   OHIO BRICKS: Bridge: Learning and Doing  Repeat/Retake Information: May be repeated for a maximum of 6.0 hours.  Lecture/Lab Hours: 40.0 internship  Grades: Eligible Grades: F,CR,WP,WF,WN,FN,AU,I  Learning Outcomes: Internship.","1 - 3"
"Accounting","ACCT 4930","Independent Research","Research in selected fields of accounting under direction of faculty member.   Requisites: Permission required   Repeat/Retake Information: May be repeated for a maximum of 10.0 hours.  Lecture/Lab Hours: 3.0 independent study  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Research in selected fields of accounting under direction of faculty member.","1 - 3"
"Accounting","ACCT 4931H","Honors Startup Decision Making with Accounting I","Introduction to analyzing business gaps and evaluating the community’s business needs to begin the creation of a financial business plan for a startup company. This is the initial phase of the College of Business Honors Program capstone experience called the Cohort Legacy Project.   Requisites: Permission required of Director of Honors Program in COB   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 2.0 seminar, 1.0 research  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Students will be able to start a collaboration across and within community contexts for the mutually beneficial exchange of knowledge and resources.Students will be able to identify assets and resources that exist in the community that are relevant to a community-based project.Students will be able to analyze and initiate multiple approaches that will aid in the achievement of a community-defined goal.Students will be able to analyze how their experiences affect the perspectives being brought to community-based projects.","3"
"Accounting","ACCT 4932H","Honors Startup Decision Making with Accounting II","In-depth analysis of business gaps, budgeting and evaluating the community’s business needs to create a startup company. This course culminates in the creation of a startup company (or expansion of a prior cohort’s startup company) and results in the completion of the Cohort Legacy Project for Honors students in the College of Business.   Requisites: ACCT 4931H   Repeat/Retake Information: May be retaken two times excluding withdrawals, but only last course taken counts.  Lecture/Lab Hours: 2.0 seminar, 1.0 research  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Students will be able to use the skills learned in their declared major to aid in the creation and operation of a business.Students will be able to apply skills obtained through College of Business courses, as well as courses outside their major, to analyze information and make informed business decisions.Students will be able to explain how they used their leadership skills to lead a business area related to one or more of their majors.Students will be able to explain how the distinct experiences and perspectives of community members contributed to the success of community-based projects.","3"
"Accounting","ACCT 4940H","Honors Thesis","Thesis for honors students.  Research is instructor directed.   Requisites: Permission required of director of honors studies   OHIO BRICKS: Bridge: Learning and Doing  Repeat/Retake Information: May be repeated for a maximum of 10.0 hours.  Lecture/Lab Hours: 3.0 research  Grades: Eligible Grades: A-F,WP,WF,WN,FN,AU,I  Learning Outcomes: Accounting Research for honors students","1 - 3"
