courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
PETE 399R,Academic Internship: Coaching,On-the-job experience in coaching.,"(4, 4)",,,
DANCE 399R,Academic Internship: Dance BFA,Off-campus dance internship for Dance BFA students.,"(4, 4)",,,
DANCE 399R,Academic Internship: Dance Ed,"Public school K-6 internship for Dance Education majors, including Arts Bridge or other pre-approved placement.","(4, 4)",,,
HLTH 496R,Academic Internship: EH/OH,"Application of professional competencies in the field of Environmental and Occupational Health. During the internship, students will obtain experience as proctored by an approved internship supervisor. Performance will be assessed through an internship report and internship supervisor rating.","(9, 9)",,,
HLTH 496R,Academic Intern: EPI,Public Health Internship for Epidemiology.,"(9, 9)",,,
SFL 496R,Secondary Teaching Internship,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required.","(12, 12)",,,
HIST 496R,Acad Internship: Family Hist,"Work-study involving family, local, and/or social history at one or more archives, libraries, publishers, data providers, or research organizations on the international, national, state, or local level, under supervision of a professional genealogist, historian, archivist, or librarian.","(6, 6)",,,
ANTHR 696R,Academic Internship,"Earning credit while employed in federal agency archaeology (BLM, U. S. Forest Service, etc. ); or 320 hours in collections-holding institution (sixteen weeks half-time; eight weeks full-time).","(6, 6)",,,
FREN 399R,Academic Internship,On-the-job experience in French.,"(6, 6)",,,
FREN 599R,Academic Internship,On-the-job experience in French; research paper analyzing the experience and other requirements as graduate coordinator sees fit.,"(3, 3)",,,
DANCE 399R,Academic Intrnshp: Gen'l Dance,Academic Internship in dance. Application and faculty pre-approval required.,"(4, 4)",,,
GERM 399R,Academic Internship,On-the-job ten-week summer language experience in German-speaking countries. Report required.,"(9, 9)",,,
HLTH 496R,Academic Internship: Hlth Prom,,"(9, 9)",,,
HLTH 496R,Academic Internship: Hlth Sci,"Experiential learning within a public health, primary care/health care, health services, or health policy setting in addressing the social determinants of health. During the internship, students will obtain experience as proctored by an approved internship supervisor. Performance will be assessed through an internship report and internship supervisor rating.","(9, 9)",,,
HIST 496R,Acad Internship--HT and SST,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required.","(12, 12)",,,
IS 199R,Academic Internship,Approved on-the-job experience. Applying classroom theory and technology to actual problems; exploring career opportunities; learning role of information systems in business environment.,"(3, 3)",,,
IS 599R,Academic Internship,Approved on-the-job experience. Applying classroom theory and technology to actual problems; exploring career opportunities; learning role of information systems in business environment.,"(3, 3)",,,
IR 399R,Academic Internship,Individualized work or volunteer experience in an international setting.,"(12, 12)",,,
ME EN 199R,Academic Internship,Credit is given for the documentation of work done during during an internship that is approved and provides practical experience in Mechanical Engineering.,"(1, 1)",,,
ITAL 399R,Academic Internship,On-the-job experience in Italian.,"(6, 6)",,,
AEROS 399R,Academic Internship,"Air Force ROTC field leadership training course. Provides advanced fundamentals of military leadership, planning, organizing, and team building at various levels of responsibility.","(4, 4)",,,
LINGC 496R,Academic Internship,"On-the-job experience in publishing production (print or electronic), courseware/software development, museum/collection/textbase management, language/linguistics research, or other application of linguistic computing.","(3, 3)",,,
LING 399R,Academic Internship: Ling,On-the-job experience and education related to linguistics.,"(9, 9)",,,
LING 599R,Academic Internship,"On-the-job experience under faculty supervision, with department approval.","(9, 9)",,,
TMA 299R,Academic Internship: Media,Off-campus experience or internship in media arts.,"(9, 9)",,,
TMA 199R,Academic Internship: Media,Off-campus experience or internship in media arts.,"(3, 3)",,,
TMA 399R,Academic Internship: Media,Off-campus experience or internship in media arts.,"(9, 9)",,,
ARTHC 496R,Academic Internship,On-the-job experience.,"(3, 3)",,,
SC ED 496R,Academic Internship--Phys Sci,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required.","(12, 12)",,,
PORT 599R,Academic Internship,,"(3, 3)",,,
PORT 399R,Academic Internship,On-the-job experience.,"(6, 6)",,,
TRM 199R,Academic Internship,Internship or cooperative education experience evaluated by supervisor and posted on student's transcript.,"(3, 3)",,,
EXDM 199R,Academic Internship,Internship or cooperative education experience evaluated by supervisor and posted on student's transcript.,"(3, 3)",,,
ART 496R,Academic Internship,,"(6, 6)",,,
DES 496R,Academic Internship,Work experience in professional design studio evaluated by supervisor.,"(6, 6)",,,
ANTHR 496R,Academic Internship,Field or library research.,"(3, 3)",,,
FREN 496R,Academic Internship,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards.","(12, 12)",,,
ARTED 496R,Art Education Internship,"Capstone, field-based, year-long experience in teaching elementary or secondary students; demonstrating proficiency in all program standards. Seminar required.","(12, 12)",,,
PHY S 496,Acad Intern: Secondary Ed,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required.","(12, 12)",,,
SC ED 496R,Academic Internship,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required.","(12, 12)",,,
MTHED 496,Academic Internship - Math,"Capstone, field-based, semester-long experience in teaching mathematics to secondary students; demonstrating proficiency in all program standards. Seminar required.","(12, 12)",,,
SPAN 599R,Academic Internship,,"(3, 3)",,,
SPAN 399R,Academic Internship,On-the-job experience.,"(6, 6)",,,
CPSE 496R,Academic Internship: Spec Ed,Culminating experience in the licensure program teaching students with disabilities in a school setting full-time for one academic year.,"(12, 12)",,,
STAT 599R,Academic Internship,On-the-job experience. Report required.,"(9, 9)",,,
STAT 496R,Academic Internship,On-the-job experience or internships for undergraduates. Report is required.,"(9, 9)",,,
ECON 599R,Academic Internship,,"(6, 6)",,,
LING 688R,Academic Internship: TESOL,"Supervised field experience involving English language teaching, testing, or materials development in an approved domestic or international setting.","(9, 9)",,,
TMA 199R,Academic Internship: Theatre,Off-campus experience or internship in theatre.,"(3, 3)",,,
TMA 299R,Academic Internship: Theatre,Off-campus experience or internship in theatre arts.,"(9, 9)",,,
TMA 399R,Academic Internship: Theatre,Off-campus experience or internship in theatre.,"(9, 9)",,,
TMA 599R,Academic Internship: Theatre,Off-campus experience or internship in theatre.,"(9, 9)",,,
TMA 496R,Academic Internship: Theatre,Off-campus experience or internship in theatre.,"(12, 12)",,,
T ED 624,Academic Writing,"This course is a writing seminar designed to help students learn to prepare for and write a master’s thesis AND to become better academic writers overall. Academic writing can be a new form of writing for many students and they need assistance in order to successfully express their ideas in academic settings. This course will emphasize a variety of topics including how to write a research question, how to write a problem statement and rationale for a study, how to craft a purpose for the study, how to conduct, synthesize, and write a review of the literature, how to use APA formatting appropriately to improve academic writing skills.","(3, 3)",,,
ESL 304,Academic Writing,"Learning how to write essays, reports, and research papers acceptable in an American university.","(3, 3)",,,
CL CV 399R,Academic Internship,"Combined study-work experience related to classical studies majors (museums, libraries, international universities and centers, publishers, etc. ).","(9, 9)",,,
