courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
AERO 495,Cooperative Education Experience,"Full-time work experience in business, industry, government, and other areas of student career interest. Positions are paid and usually require relocation and registration in course for two consecutive quarters. A more fully developed formal report and evaluation by work supervisor required. Credit/No Credit grading only. No major credit allowed; total credit limited to 24 units.","(None, None)",Aerospace Engineering (Aero),,
AERO 500,Individual Study,Advanced study planned and completed under the direction of a member of the department faculty. Open only to graduate students who have demonstrated ability to do independent work. Enrollment by petition. Total credit limited to 12 units.,"(1, 4)",Aerospace Engineering (Aero),,
AERO 513,Applications of Remotely Piloted Aircraft Systems,"Engineering development and analysis of Remotely Piloted Aircraft Systems (RPAS) as airborne tools for societal benefit. Use of RPAS for military, public service, and commercial purposes. Characterization of missions and applications. Development of system requirements and concepts of operation. Evaluation of relative merits and limitations of RPAS.","(None, None)",Aerospace Engineering (Aero),,
AERO 515,Continuum Mechanics,Vectors and tensors stress analysis. Analysis of deformation. Velocity fields and compatibility conditions. Constitutive equations. Isotropy. Mechanical properties of real fluids and solids. Field equations and boundary conditions in fluid mechanics problems and applications in elasticity. Active remodeling of structures. 4 seminars.,"(None, None)",Aerospace Engineering (Aero),,
AERO 522,Boundary-Layer Theory,"Concept of boundary-layer. Boundary-layer equations, similarity transformation, integral and differential methods for steady, two-dimensional laminar and turbulent boundary layers.","(None, None)",Aerospace Engineering (Aero),,
AERO 525,Computational Fluid Dynamics,"Classification of partial differential equations. Numerical methods applicable to the solution of elliptic, parabolic, and hyperbolic partial differential equations. Consideration of accuracy and stability of numerical methods. Application to the fundamental equations of fluid dynamics, grid generation, turbulence modeling.","(None, None)",Aerospace Engineering (Aero),,
AERO 526,Spacecraft Thermal/Fluid Control,"Satellite thermal/fluid control hardware. Governing equations for flow and heat transfer. Surface tension and liquid/vapor interface. Heat transfer by free convection, forced convection and radiation in low-gravity environment. Heat pipes. Capillary-pumped loops. Cryogenic systems. Fluid management in space.","(None, None)",Aerospace Engineering (Aero),,
AERO 532,Advanced Aerospace Composite Design,"Behavior of composite materials. Bending, buckling, and vibration of laminated plates. Fatigue and fracture mechanics analysis of composite structures. Optimum design of composite pressure vessels.","(None, None)",Aerospace Engineering (Aero),,
AERO 533,Finite Elements for Aerospace Structural Analysis,"Overview of theoretical and applied methods of finite element analysis for aerospace structures including composite and light weight structures. Topics include basic equations of elasticity, solutions of linear systems of equations transformation, global stiffness matrix, Bernoulli-Euler element, plane stress triangles, finite element formulation, isoparametric elements, alternative formulation, eigenvalue problems and dynamic analysis.","(None, None)",Aerospace Engineering (Aero),,
AERO 534,Aerospace Structural Dynamics Analysis,Structural dynamics and aeroelasticity of flight vehicles. Vibration and forced response of continuous structures. Introduction to unsteady aerodynamic analysis methods. Normal-Mode Method and Modal Analysis. Framed structures and rigid body structures. Airworthiness and aeroelasticity. Random Vibrations.,"(None, None)",Aerospace Engineering (Aero),,
AERO 535,Advanced Aerospace Structural Analysis,Types of failure. Theories of failure. Stability of structures. Advanced flight vehicle and fracture mechanics analysis and design. Fundamentals and applications of modern fatigue analysis in the aerospace industry.,"(None, None)",Aerospace Engineering (Aero),,
