courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
AGM 6020,Landscape Drainage and Irrigation,"Uses basic soil-water-plant relationships to determine the need for and methods of irrigation and drainage. Topics include irrigation methods, drainage needs and drainage methods. Coreq: AGM 6021.","(3, 3)",Agricultural Mechanization,Graduate,
AGM 6021,Landscape Drainage and Irrigation Laboratory,Coreq: AGM 6020.,"(0, 0)",Agricultural Mechanization,Graduate,
AGM 6040,Grain Handling and Storage,"The course provides an introduction to post-harvest grain operations and explores the basic principles of grain handling and storage. Topics addressed include: grain drying principles, methods, and costs; psychrometric properties of air; grain handling equipment and conveyance; grain preservation quality standards and measurement; aeration and fan airflow; equilibrium moisture content relationships; and inventory estimation. Coreq: AGM 6041.","(3, 3)",Agricultural Mechanization,Graduate,
AGM 6041,Grain Handling and Storage Laboratory,Coreq: AGM 6040.,"(0, 0)",Agricultural Mechanization,Graduate,
AGM 6050,Environmental Control in Animal Structures,"Design of environmental control systems for animal production facilities. Topics include effects of the thermal and chemical environment on animals, ventilation system design, thermal design of structural envelopes, design of heating, cooling, and lighting systems. Emphasis is on practical, energy-efficient applications to modern animal production facilities. Coreq: AGM 6051.","(3, 3)",Agricultural Mechanization,Graduate,
AGM 6051,Environmental Control in Animal Structures Laboratory,Coreq: AGM 6050.,"(0, 0)",Agricultural Mechanization,Graduate,
AGM 6060,Mechanical and Hydraulic Systems,"Study of power transmission systems for agricultural production emphasizing mobile equipment. Characteristics, requirements, and design of both V-belt drive and roller-chain drives are presented. Emphasizes hydraulic power transmission systems, including pumps, actuators, control devices, and hydraulic circuitry. Coreq: AGM 6061.","(3, 3)",Agricultural Mechanization,Graduate,
AGM 6061,Mechanical and Hydraulic Systems Laboratory,Coreq: AGM 6060.,"(0, 0)",Agricultural Mechanization,Graduate,
AGM 6070,Applied Measurement and Instrumentation for Agricultural Automation,"Introduces the use of sensors, actuators, computers, and microcontrollers for monitoring plant environment, acquiring and processing data in agricultural automation. Students develop an understating of the use of these technologies and apply this knowledge in their semester projects and Capstone project or in their graduate research projects. Coreq: AGM 6071.","(3, 3)",Agricultural Mechanization,Graduate,
AGM 6071,Applied Measurement and Instrumentation for Agricultural Automation Laboratory,Coreq: AGM 6070.,"(0, 0)",Agricultural Mechanization,Graduate,
AGM 6100,Precision Agriculture Technology,"Includes principles and hands-on application of technologies supporting precision agriculture. Topics include global positioning system (GPS), geographic information system software, variable rate technologies, collection of spatial data, automated guidance of equipment, spatial data mapping and analysis, remote sensing, and economic considerations. Coreq: AGM 6101.","(3, 3)",Agricultural Mechanization,Graduate,
AGM 6101,Precision Agriculture Technology Laboratory,Coreq: AGM 6100.,"(0, 0)",Agricultural Mechanization,Graduate,
AGM 6520,Mobile Power,"Study of tractors, emphasizing internal combustion engines and support systems necessary for their proper functioning. Also considers application of power, maintenance, adjustment, and general repair. Coreq: AGM 6521.","(3, 3)",Agricultural Mechanization,Graduate,
AGM 6521,Mobile Power Laboratory,Coreq: AGM 6520.,"(0, 0)",Agricultural Mechanization,Graduate,
AGM 6600,Electrical Systems,"Students in agriculture and related curricula study electric and other utilities on the farm and in the home. Emphasizes selection, installation, and maintenance of wiring systems, lighting systems, motors, controls, water systems, and waste disposal systems. Coreq: AGM 6601.","(3, 3)",Agricultural Mechanization,Graduate,
AGM 6601,Electrical Systems Laboratory,Coreq: AGM 6600.,"(0, 0)",Agricultural Mechanization,Graduate,
CH 8150,Mass Spectrometry,"The fundamental and practical aspects of mass spectrometry are presented. Topics include vacuum technology, ion optics, mass analyzers, ionization techniques, and hyphenated methods.","(3, 3)",Chemistry,Graduate,
CH 8160,Separation Science,Fundamental thermodynamic and kinetic concepts of separation and practical aspects of current separation techniques used in analytical chemistry. Offered spring semester of odd-numbered years only.,"(3, 3)",Chemistry,Graduate,
CH 8180,Surface and Thin Film Analysis,"Fundamental principles underlying the most commonly employed techniques for surface and thin films analysis. Representative techniques include atomic force microscopy, scanning electron microscopy, secondary ion mass spectrometry, Auger electron spectroscopy and Rutherford backscattering.","(3, 3)",Chemistry,Graduate,
CH 8210,Organic Chemistry I,"Theoretical concepts of organic chemistry, stereochemistry and mechanisms of organic reactions. Offered fall semester only.","(3, 3)",Chemistry,Graduate,
CH 8220,Organic Chemistry II,Continuation of CH 8210; mechanisms of organic reactions including photochemistry and Woodward-Hoffman rules; modern synthetic organic chemistry. Offered spring semester only.,"(3, 3)",Chemistry,Graduate,
