"code","level","title","credits","college","description"
"ART3660","Undergraduate Semester","3rd Year Graphic Problems II",4,"FA - College of Fine Arts","An intermediate-level course in graphic design. The course stresses developing methodological understanding of visual thinking as it applies to the application of graphic communication in its two- and three-dimensional state."
"HEBR3020","Undergraduate Semester","3rd Year Modern Hebrew - Language & Culture",3,"HU - College of Humanities","Explicit review of morphology and syntax of Israeli Hebrew. Readings and analysis, written and oral, of texts from different periods and styles of the language will increase competence in literary material. Some expository writing."
"HEBR3010","Undergraduate Semester","3rd Year Modern Hebrew - Language & Culture",3,"HU - College of Humanities","Explicit review of morphology and syntax of Israeli Hebrew. Reading and analysis, written and oral, of texts from different periods and styles of the language will increase competence in literary material. Some expository writing."
"SOC7910","Graduate Semester","3rd Year Research Project","1 - 6","SB - Coll of Soc & Behavioral Sci","This course is a ""special projects"" course where Sociology doctoral students plan, initiate, and complete an independent research project. Students will work with faculty advisor(s) to set the scope, timelines, and expectations of this requirement of the PhD program. This program requirement is intended to produce an independent empirical paper on which the student is the primary author that should eventually be submitted to a journal."
"ART3650","Undergraduate Semester","3rd Yr. Graphic Problems",4,"FA - College of Fine Arts","An intermediate-level course in graphic design. The studio course addresses solving visual communication problems through defining objectives, methods, research, visual thinking, and the exploration of imagery and typography in its two- and three-dimensional state."
"THEA3180","Undergraduate Semester","3rd-Year Acting/Styles for Actor Training Program",3,"FA - College of Fine Arts","This is an advanced acting studio concentrating on further scene study in Shakespeare and preparing monologues and auditions for Shakespeare Festivals."
"THEA3170","Undergraduate Semester","3rd-Year Acting/Styles for Actor Training Program",3,"FA - College of Fine Arts","Acceptance into the Actor Training Program required. Begins an extended study of elements of verse and the use of language in verse drama. Students will prepare monologues and scenes, drawn primarily from Shakespeare's texts."
"THEA3020","Undergraduate Semester","3rd-Year Singing for Actor Training Program",3,"FA - College of Fine Arts","Acceptance into the Actor Training Program required. This course continues the student's development of singing technique, including assessment of range and craft, and culminates in the preparation of audition pieces."
"VIET3010","Undergraduate Semester","3rd-Year Vietnamese I",3,"HU - College of Humanities","Fifth-semester Vietnamese. Continued development of skills in areas at the paragraph level. Students begin learning to comprehend written and spoken Vietnamese through both edited and authentic written and spoken Vietnamese."
"THEA3070","Undergraduate Semester","3rd-Year Voice and Speech for Actor Training Program",3,"FA - College of Fine Arts","This course builds upon the exploration of voice for the actor through speech. Students practically explore the range of sounds that a human being can make, studying vowel and consonant formation and the use of resonance, range, and articulation as ways to facilitate the communication and interpretation of text. Students are introduced to phonetics and use this as a way of identifying the sounds they make. This class introduces skills that will be useful in the Dialects course."
"ART4670","Undergraduate Semester","4th Year Design Production Processes",2,"FA - College of Fine Arts","This course serves as a capstone class for graphic design majors. Students work on projects that help familiarize them with the skills necessary for professional practice.  This includes a comprehensive study of the methods, tools, techniques, terminology, and equipment used in design production for print and digital mediums."
"ART4650","Undergraduate Semester","4th Year Graphic Problems I",4,"FA - College of Fine Arts","An advanced-level course in graphic communications. Using complex and diverse information, students gain insight into solving graphic problems through the use of personal expression, philosophical research, and visual thinking."
"ART4660","Undergraduate Semester","4th Year Graphic Problems II",4,"FA - College of Fine Arts","An advanced-level course. The course stresses comprehension of complex information that is conveyed visually. A visual correspondence of complex information should be obtained through personal expression, design methods, and visual communicative systems."
"THEA4090","Undergraduate Semester","4th-Year Voice and Speech-Dialects ATP",3,"FA - College of Fine Arts","This advanced course examines, practices, and polishes the skills needed to analyze and acquire dialects and accents for the professional actor."
"MUSC4405","Undergraduate Semester","A Cappella Choir","1 - 3","FA - College of Fine Arts",""
"MUSC7405","Graduate Semester","A Cappella Choir (Doctoral)","1 - 3","FA - College of Fine Arts",""
"MUSC6405","Graduate Semester","A Cappella Choir (Masters)","1 - 3","FA - College of Fine Arts",""
"UGS4805","Undergraduate Semester","A Primer on Research & Publishing for Undergraduates",1,"UOFU - University of Utah","This course will provide undergraduate students a background in scholarly research and publishing at the undergraduate level in the humanities, fine arts, sciences and social sciences.  Students in this course will analyze how academic communities construct, communicate and preserve knowledge.  Upon completion of this course, students will have the basic tools to pursue publishing a journal article.  A unique feature of this course is that students will not only study the craft  of creating an article, but will develop sound and efficient research strategies that they can apply in graduate and professional schools."
"SW5709","Undergraduate Semester","A&D: Alcohol & Substance Use Disorder Field Training I",2,"SW - College of Social Work","This is the entry level Field Training course for both the Certified Substance Use Disorder Counselor level certificate (200 total field hours) and the Certified Advanced Substance Use Disorder Counselor level certificate (350 total field hours). This course is designed to provide supervised field experience with alcohol/drug cases in a community substance abuse services agency. Students will be required to apply the key concepts of this course series and will demonstrate an understanding and proficient level of skill in twelve core functions of substance abuse counseling. Students must complete 100 either the 200 or 350 hours requirement."
"SW5710","Undergraduate Semester","A&D: Alcohol & Substance Use Disorder Field Training III",2,"SW - College of Social Work","This is the final field training class for students who are enrolled in the Certified Advanced Substance Use Disorder Counselor Certificate level. Students must complete the remaining 150 hours of the 350 total hours. Students will be required to apply the key concepts of this course series and will demonstrate an understanding and proficiency in the core areas of substance-abuse counseling. In addition to participating in an interagency team in the field, students will attend supervision sessions with their practicum instructor, and share and learn with other students."
"ESSF1007","Undergraduate Semester","AB-solutely Hilarious Cardio",1,"HE - College of Health","This class will cater to the person intimidated by group exercise.  It will involve basic cardio and strength training instruction while implementing a positive frame of mind."
"THEA3791","Undergraduate Semester","Absurd Theatre",3,"FA - College of Fine Arts","For Theatre Majors and Non-Majors. Students will examine the dramatic literature of seminal writers such as Alfred Jarry, Jean Paul Sartre, Albert Camus, Samuel Beckett, Jean Genet, Eugene Ionesco, Harold Pinter, and others in an exploration of their philosophies, reaction to world events, and creative expression."
"BIOL5450","Undergraduate Semester","Abundance and Distribution of Organisms",1,"SC - College of Science","Determinants of distribution and abundance of animals and plants, island biogeography, diversity, long-term evolutionary trends."
