"subject","course_code","course_name","description","credits"
"Linguistics","LING Z280M","Intro Topics in Linguistics","American Sign Language in Healthcare will take students who have no previous knowledge of American Sign Language to the point where they can function comfortably in a wide variety of situations in the Deaf community. Since students will be exposed to Deaf people and Deaf culture throughout their work in healthcare, it is essential they learn appropriate behaviors, showing awareness of and respect for Deaf culture. Deaf culture is taught throughout the curriculum through video presentations, discussions, and activities and readings that reinforce what students learn from the videos. This asynchronous course will focus on the functional-notional approach which emphasizes interpersonal communication and will help students achieve communicative competence.","Credits: 3"
"Linguistics","LING 114","Lang,Cult&Communication in US","Introduction to the plurality of communication patterns in the U.S., with particular attention to at least three of the following communities: African American, Native American, Asian American, European American and Latino American; links between cultural groups and different communication and discourse patterns; language and identity; ways in which communication differences structure intercultural interaction.  Fall semester.","Credits: 4"
"Linguistics","LING 118","Intro To Linguistic Structures","Basic methods and concepts of linguistic analysis, including phonetics, phonology, morphology, syntax and semantics, with special attention to cross-linguistic comparison.   Offered Spring semester.","Credits: 4"
"Linguistics","LING 160","GIS for Social Sci &Humanities","This course offers a basic introduction to Geographic Information Systems (GIS) using the newest software and techniques and focusing on examples of current applications in the Social Sciences and Humanities. The lecture/lab format emphasizes both theoretical background and hands-on experience and practice. The hands-on exercises will prepare the social science or humanities major with a tool they can use to explore the spatial
aspects of their chosen field. Offered regularly in fall.","Credits: 4"
"Linguistics","LING 170","Intro to Linguistic Anthro","This introduction to linguistic anthropology will consider language as social action, the
relationship between language and culture and language use itself in specific sociocultural contexts. The course as a whole will help the student to understand how language both reflects and shapes social action and thought. Other topics of study will include language and power, language and gender and various perspectives on multilingualism. Offered every spring.","Credits: 4"
"Linguistics","LING 180L","Intro Topics in Linguistics","Intro Topics in Linguistics. Topics vary by offering.","Credits: 4"
"Linguistics","LING 197","Independent Study","Individual research under direct supervision of faculty member. Prerequisites: determined by instructor.","Credits: Variable"
"Linguistics","LING 211","Language and Culture in Italy","This course explores language as a part of culture within Italy. It introduces the study of language from a wide variety of anthropological perspectives, showing how language is embedded in different social, cultural, and historical contexts in Italy. One of the fundamental concepts of the course is the mutually influential relationship between Italian culture, on the one hand, and patterns of language use, on the other. How does language help us construct certain identities? How does language foster social inclusion and exclusion in migration processes in Italy? Why is language critical for the exercise of power? Topics include language and the construction of social identity among Italians; the revitalization of Italian regional dialects; language use in the anti-immigration politics of the Lega Nord (`Northern League’) political party; regional storytelling; racialized language in Italian everyday life; and language ideologies around Italian stereotypes, including those around hospitality and corruption.  Offered every two years.","Credits: 4"
"Linguistics","LING 212","Face-To-Face Interaction","The objective of this course is to critically examine the role of face-to-face interaction in defining, maintaining and challenging power relations in culture and society. How are social and power relations created, performed, and maintained through the choices speech participants make when they interact with one another? How do interactants establish harmony, (co)construct sociocultural solidarity, and avoid or foster conflict? These and other questions will be explored through an analysis of speakers? subtle communicative behaviors in face-to-face interaction. Besides becoming aware of the role that language plays in these various sociocultural settings, in this course students will also develop better critical thinking skills and an analytic eye on language and culture that will be useful both inside and outside the classroom. No pre-reqs.   Offered every other year.","Credits: 4"
"Linguistics","LING 213","Cross-Cultural Communication","In this course, we will explore the dynamics of intercultural communication and examine cases when different cultural norms lead to ?miscommunication? in everyday life. Our goal during this semester is to critically examine ?miscommunication? from a linguistic anthropological/sociolinguistic perspective. What notions of ?culture? and ?communication? are assumed, and are these assumptions problematic? How do we identify cases of miscommunication, especially if both parties do not feel that ?miscommunication? has occurred? To what extent does intercultural miscommunication lead to larger social conflicts? The topics that we will examine include greetings, service encounters, doctor?patient interactions, job interviews, communication between men and women, interactions in corporate settings, and research interviews. This course will help students develop better critical thinking skills and an analytic eye on miscommunication that will be useful both inside and outside the classroom. Offered every two years.","Credits: 4"
"Linguistics","LING 218","Structure Of Korean","Overview of the structure of the Korean language and discussion of the relevant analyses of a certain structure. Based on readings of text, students discuss the adequacy of the analyses, including generalizations and consider expanded sets of data. Touches on general areas of Korean linguistics, from Korean language background to socio-linguistics.","Credits: 4"
"Linguistics","LING 228","American Sign Language I","Master ASL! will take students who have no knowledge of Sign Language to the point where they can function comfortably in a wide variety of situations in the Deaf community. Since students will be exposed to Deaf people and Deaf culture throughout their lifetimes in a variety of life situations, it is essential they learn appropriate behaviors, showing awareness of and respect for Deaf culture. Deaf culture is taught throughout the curriculum through videotape presentations, discussions, and activities and readings that reinforce what students learn from the videotapes. The functional-notional approach emphasizes interpersonal communication and will help students achieve communicative competence. Functions are emphasized to help students establish and maintain social relationships.   Offered every Fall and Spring.","Credits: 4"
"Judaic Studies","JUST 312","Radical Religious Movements","This course focuses on religious movements that are deemed radical by their contemporaries. Topics will vary, though generally we will focus on the self-professed religious identity of these movements alongside their relationship to a broader religious culture. Do such movements consider themselves radical? How do they communicate with, or seek to influence, the mainstream? We begin with the period of the Protestant Reformation before moving on to the proliferation of communalist, utopian, and messianic movements. Later topics include religious socialism, terrorism, new religious movements and the anti-cult movement, and the recent appearance of so-called ?invented religions? like Jediism and Matrixism. Offered regularly. 

Note: Students that have taken JUST 212 may not take JUST 312 and receive credit for it.","Credits: 4"
"Judaic Studies","JUST 315","Israeli-Palestinian Conflict","The territory between the Jordan River and the Mediterranean Sea, comprising Israel, the West Bank, and the Gaza Strip, is often described as Israel?Palestine, due to the ongoing land claims of two rival national movements. Although the territory is small and includes a relatively small population, the Israeli?Palestinian conflict has remained at the forefront of international attention for three?quarters of a century. This course examines the conflict and the larger Arab?Israeli dispute from the late nineteenth century to the present day. Among the topics to be examined: the social history of late Ottoman Palestine; the origins and varieties of Zionism and Palestinian nationalism before and during the British Mandate; the 1948 War,
Israeli independence, and the Palestinian refugee crisis; 1967 and its aftermath; and the various armed struggles, peace attempts, and unilateral actions that have that have played important roles throughout. Offered spring only.","Credits: 4"
"Judaic Studies","JUST 316","Walking & Waymarking in Israel","This faculty-led course in Israel uses trails to explore how different people groups throughout history have articulated their connections to a sacred land. Binghamton students will travel across the country with Israeli students, and will walk ancient and modern trails in the north, center, and south. Students will learn the spiritual, political, and territorial dimensions of walking and trails, both in the Israeli context, and worldwide. Pre-requisite: One course in Israel Studies, MENA, or permission of Instructor. Offered Winter Only.","Credits: 3"
"Judaic Studies","JUST 321","Walking the Land","This course is about hiking and pilgrimage in modern Israel/Palestine/Holy Land. It explores the religious traditions and political movements that have attached significance to the act of walking the land between the Jordan River and the Mediterranean Sea, beginning in the late Ottoman period and continuing to the present day.","Credits: 4"
"Judaic Studies","JUST 331","Jews and Muslims","This course offers a survey of Jewish-Muslim relations from the emergence of Islam through the modern period. Beginning with the medieval period, topics covered include the relationship between Islam and peoples of the Book, Jewish communal life and self-government, participation in Mediterranean trade, the world of the Cairo Geniza, and intellectual and cultural achievements of the “Golden Age of Spain”. Moving to the early modern and modern periods, topics covered will include Jewish life in the Ottoman lands, the rise of European imperialism, the dissolution of empire and the emergence of nationalism. The course fulfills core and survey requirement for Judaic Studies majors and minors. Students that have taken JUST 257 may not receive credit for JUST 331.","Credits: 4"
"Judaic Studies","JUST 340","American Jewish Women Writers","This course will survey texts written in English by American Jewish women from the Civil War to the present as they move out of the kitchens and sweatshops and onto their own pages. Exploring the historical context surrounding their work, we will address chiefly the writers? contributions in fiction and non?fiction, focusing on key issues of immigration, acculturation, assimilation, family, sexuality, religious practice, and the experience of being or becoming American. Pre?requisites: one previous course in Judaic Studies, preferably a lower level course such as introduction toJudaic Studies, Jewish History 1500 ? Modernity, or Philosophy of Religion. Offered regularly.","Credits: 4"
"Judaic Studies","JUST 341","Holocaust Literature","This course explores the literary responses of the first generation (victims and survivors) of the Holocaust or Shoah. The literature of witness provides an enrichment of the narrative of History - not a counterpoint to History, but a deepening and focusing of it. Noting key historical events, we
read memoirs, diaries, journals, poetry, fiction, and popular literature by survivors and their  descendants to bear witness to how events of the Holocaust reverberate into the present. Prerequisite: Sophomore standing. Offered fall only.","Credits: 4"
"Judaic Studies","JUST 342","Between Persians and Islam","A study of the formative period for both Judaism and Christianity. Emphasis can be on different sociocultural themes or sub-periods.","Credits: 4"
