"course_code","course_title","department","credits","description","level"
"IRE 201","TOPICS IN IRISH STUDIES","Irish Studies (IRE)","4 quarter hours","See schedule for current offerings  Cross-listed asENG 357. ","(Undergraduate)"
"IRE 202","MODERN IRISH LITERATURE","Irish Studies (IRE)","4 quarter hours","This course provides an introduction to Irish literature, including some poems in the Irish language with English translations on facing pages, written from the Literary Revival to the late twentieth century. It emphasizes the transitions from a colonized to a postcolonial society and the slow validation of the voices of Irish women writers. Cross-listed asENG 355. ","(Undergraduate)"
"IRE 203","CONTEMPORARY IRISH LITERATURE","Irish Studies (IRE)","4 quarter hours","This course is an introduction to the vibrancy of contemporary Irish literature. It explores the ways in which literature addresses issues such as new patterns of living, communal tension, and women's experience. ","(Undergraduate)"
"IRE 204","IRISH LITERATURE AND FILM","Irish Studies (IRE)","4 quarter hours","In this course, students seek to examine the thematic structure of recent works of the Irish cinema in light of a selection of writings from major authors. Our study will begin with the writings of the Irish Revival and move on to contemporary fiction so as to establish an artistic base from which to investigate recent interpretations and adaptations of these materials. Then, after addressing the fundamental question ""what is an Irish Film (The Quiet Man);"" we will go on to a topical analysis of works dealing with central issues in the Irish cinema: politics (Michael Collins, The Wind That Shakes The Barley, The Crying Game, In the Name of the Father); urban life (The Commitments, Intermission); dystopia (Adam & Paul, The Butcher Boy), alienation, and other topics as appropriate. ","(Undergraduate)"
"IRE 249","GENDER AND POLITICS IN IRELAND","Irish Studies (IRE)","4 quarter hours","This course examines the often paradoxical impact of political change and social relations on women in Ireland.  Political change has at times afforded women leadership opportunities; social relations have been, especially during periods of colonial rule and the ascendancy of the Church, intensely patriarchal.  The course pays particular attention to the way in which, historically and today, categories of gender have been constructed and intersect with or otherwise affect politics and social relations in the Republic of Ireland or the six counties that remain part of the United Kingdom. Cross-listed with WGS 249. ","(Undergraduate)"
"IRE 301","NINETEENTH CENTURY IRISH LITERATURE","Irish Studies (IRE)","4 quarter hours","This course focuses on some of the important works of nineteenth-century Irish literature. It sees them as engaging with the often traumatic political and social changes of their time. Cross-listed as ENG 346. A literature course is a prerequisite for this course. ","(Undergraduate)"
"IRE 302","THE IRISH REVIVAL","Irish Studies (IRE)","4 quarter hours","The course invites a study of the cultural ferment of the decades from the 1890's to the 1920's in Ireland. Particular attention will be given to an introduction to the work of canonical writers such as Yeats and Joyce who emerged from it. Cross-listed asENG 354. ","(Undergraduate)"
"IRE 303","REVOLUTION AND NATIONALISM IN IRELAND","Irish Studies (IRE)","4 quarter hours","From the eighteenth to the twenty-first century Irish history has been defined by the emergence of national consciousness. This emerging consciousness has been expressed through violent rebellion against British rule and participation in British politics. This course traces the course of revolution and nationalism in Ireland from 1798 to 1923. This course traces the evolution of Irish nationalism and examines the historical literature of this subject. Key themes include: agrarian unrest, parliamentary politics, ideological revolution and the interaction of these forces to achieve independence. ","(Undergraduate)"
"IRE 379","INDEPENDENT STUDY","Irish Studies (IRE)","1-6 quarter hours","Intensive study of a topic of special interest which is relevant to Irish Studies, normally in one of the curricular areas in which Irish Studies is taught in the minor, and usually with a faculty member who teaches in the Irish Studies program. An independent study typically involves private conferences with an instructor and supervised reading, research and writing. Written permission of the supervising faculty member and of the program director is necessary before registration. ","(Undergraduate)"
"IRE 398","INTERNSHIP","Irish Studies (IRE)","1-6 quarter hours","The course combines academic study with practical experience obtained through work in an extramural internship setting or on campus that relates to Ireland or Irish-America. The internship course requires academic output in the form of a research journal, paper, or other project. ","(Undergraduate)"
"IWS 116","INTRODUCTION TO ISLAM","Islamic World Studies (IWS)","4 quarter hours","This course will introduce students to the religion of Islam through its sources, practices, and presence in the contemporary world. In this introduction we will briefly explore the Qur'an, the Prophet Muhammad, hadith, law, ritual and practices, and sectarian movements as well as some of the modern reform movements. This course will take primarily an historical approach to the study of Islam. ","(Undergraduate)"
"IWS 141","THE MUSLIM WORLD, 600 - 1100","Islamic World Studies (IWS)","4 quarter hours","Foundation of First Global Civilization (600-1100). A study of the emergence of Islam and the growth of the Islamic community from the time of the Prophet Muhammad until the end of the eleventh century. Cross-listed withHST 141. ","(Undergraduate)"
"IWS 142","THE MUSLIM WORLD, 1000-1500","Islamic World Studies (IWS)","4 quarter hours","Sultans, Khans and Shaykhs: Medieval Islamic History (1000-1500). A survey of Muslim history from the decline of the Arab caliphate to the rise of the great gunpowder empires, addressing themes of political expansion, military slavery, devastation brought about by the twin plagues of the Mongols and the Black Death, and the growth of Islamic mysticism. ","(Undergraduate)"
"IWS 143","THE MUSLIM WORLD, 1400-1920","Islamic World Studies (IWS)","4 quarter hours","Great Empires (1400-1920). Examines the social, cultural and economic histories of the Ottoman-Turkish, Safavid Iranian and Mughal-Indian empires which dominated the Muslim world in the crucial centuries between the end of the Mongol empire and the advent of European dominance. ","(Undergraduate)"
"IWS 171","INTRODUCTION TO THE QUR'AN","Islamic World Studies (IWS)","4 quarter hours","A study of the origin, transmission, and interpretation of the Qur'an. ","(Undergraduate)"
"IWS 190","SACRED TEXTS","Islamic World Studies (IWS)","4 quarter hours","A survey of the formation, use and interpretation of sacred texts by religious and secular communities. ","(Undergraduate)"
"IWS 192","ISLAMIC WORLD STUDIES","Islamic World Studies (IWS)","4 quarter hours","This course introduces students to the Islamic world, a world impacted by the religion of Islam, but not solely defined by it. The study of fundamental religious texts such as the Qur'an and the Hadith provide an understanding of the basic parameters that characterize this world. The course then explores how these basic parameters impact the history, geography, politics, philosophy, culture, and social life of Muslim majority and minority communities, while simultaneously underlining their diverse and pluralistic character. ","(Undergraduate)"
"IWS 201","GEOPOLITICS","Islamic World Studies (IWS)","4 quarter hours","A survey of theories of geopolitics and international relations, the course explores issues of international security and organization, regional integration, and nationalism, state formation and conflict. Historic geopolitical cases from Europe (Northern Ireland, EU, Balkans), the Middle East and North Africa, and the Russian realm, provide opportunities to assess theoretical approaches and profile the security and foreign policy concerns of the U.S.in the new millennium. ","(Undergraduate)"
"IWS 203","RELIGIOUS GEOGRAPHY","Islamic World Studies (IWS)","4 quarter hours","Religion and geography are fundamentally intertwined. From the establishment of theocratic states that control territory, to the sprawl of US suburbia that has led to megachurches, the role of religion in shaping the earth's cultural landscape is undeniable. Religious beliefs shape geographies - there are places that, through faith, become sacred; elsewhere religious individuals and groups struggle to claim places in the name of their beliefs. This course will examine case studies from around the world to explore the intersection of geography and religion. ","(Undergraduate)"
"IWS 204","CULTURAL ANALYSIS","Islamic World Studies (IWS)","4 quarter hours","This course asks students to examine economic and cultural practices together so as to see the complicated ways in which such practices intersect and/or give rise to one another. Drawing on a variety of materialist perspectives, students study the economic and cultural instrumentality that different family structures and constructions of sexuality, gender, and race have held across time and place and how and why such structures have changed. Students also analyze the cultural logic of disposability in capitalism, both in terms of garbage-generation and the generation of surplus populations. ","(Undergraduate)"
"IWS 215","LITERATURE AND THE SACRED","Islamic World Studies (IWS)","4 quarter hours","How human beings across cultures express their intimations of ultimate meaning in a variety of genres ranging from aphorisms and autobiographies to mythic and fictional narratives. ","(Undergraduate)"
"IWS 217","ISLAMIC CULTURES AND SOCIETIES","Islamic World Studies (IWS)","4 quarter hours","A study of Islam's developments in various global contexts, including Arabian beginnings, the Middle East, Central, Eastern and Western Europe, China, the former Soviet States and South Africa, with a focus on the impacts that these cultures and Islam have had on each other. ","(Undergraduate)"
"IWS 230","ISLAMIC FINANCE","Islamic World Studies (IWS)","4 quarter hours","This course is a comprehensive introduction to Islamic finance, from its religious and legal origins and principles to its most advanced forms. This course focuses on the underlying principles of Islamic finance through a study of its scriptural and jurisprudential origins and reviews most of its products such as Mud'raba, Mush'raka, Mur'baha, Project finance, Suk'k, Tak'ful, Ij'ra and equity mutual funds etc. The course also examines today's Islamic finance industry with a closer look at the structure and governance of contemporary Islamic financial institutions and international regulatory bodies. ","(Undergraduate)"
"IWS 231","INDIA FROM 900-1750 - SULTANS, MUGHALS, AND ISLAMIC EMPIRES","Islamic World Studies (IWS)","4 quarter hours","The course begins with the transformation of society from the 'ancient' to the 'medieval', and compares this to developments in Europe in the feudal age. It then incorporates specific political, social, and cultural developments in South Asia that came about with the establishment of powerful Islamic states in a region where Muslims were a minority. These issues will inform the analysis of the Ghaznavid and Ghurid invasions, the Delhi Sultanate, the Vijayanagara empire and the Mughal empire. The course will end with the Marathas and the decline of the Mughal empire, and the rising influence of the British. The central themes concern how the state, economy, culture, and society developed in the period when Islam became firmly embedded in South Asia. ","(Undergraduate)"
"IWS 232","INDIA FROM 1700-1950 - RISE AND FALL OF THE BRITISH RAJ","Islamic World Studies (IWS)","4 quarter hours","The course begins with the decline of the Mughal Empire, and then moves to examine the British empire, the nationalist movement and finally to independence and partition in 1947. The central questions of this course continue to be relevant in the post-colonial period: how we understand the distinctive form of modernity that has developed in South Asia. Taking a comparative approach as often as possible, the course examines the fundamental ways that Britain was as transformed by the development of its empire as was colonial India. The course constantly deconstructs easy binaries of self and others/ East and West by examining the differences within Indian and British society. ","(Undergraduate)"
"IWS 233","THE ART OF CRUSADING","Islamic World Studies (IWS)","4 quarter hours","This course focuses on the Crusades. More specifically, it focuses on the world within which the Crusades were born and the Levantine kingdom built as a result of their initial success. Our study will depend on primary artistic, literary, and archaeological materials, as well as the secondary scholarship that has identified and interpreted these materials. Our understanding of this historical moment will be nuanced by the questions we ask of both. The payoff will be an appreciation for the religious, social, political, and artistic forces that defined the twelfth and thirteen centuries in Europe and in the Mediterranean basin, leading as they did to such fascinating phenomena as pilgrimage, the cult of relics, chivalry, holy war, the rise of military orders, and the establishment of the Latin Kingdom of Jerusalem itself. ","(Undergraduate)"
"IWS 234","COMPARATIVE URBANISM","Islamic World Studies (IWS)","4 quarter hours","An exploration of non-U.S. urban and planning traditions, through the urban morphological and comparative study of the foundation, and social-political forces that shaped cities such as Paris, St. Petersburg, Istanbul, Bombay-Mumbai, Hong Kong, and Mexico City. ","(Undergraduate)"
"IWS 240","SPECIAL TOPICS IN ISLAMIC WORLD STUDIES","Islamic World Studies (IWS)","4 quarter hours","Topics vary each term. (May be taken more than once). ","(Undergraduate)"
"IWS 242","AMERICAN FOREIGN POLICY","Islamic World Studies (IWS)","4 quarter hours","An examination of the forces that shape the broad outlines of United States foreign policy, including historical background, and the effects of social forces and governmental structures. The challenges, opportunities and constraints presented by the international environment are also considered. ","(Undergraduate)"
"IWS 251","ISLAMIC ART","Islamic World Studies (IWS)","4 quarter hours","An examination of the origins of Islamic culture in Arabia and the spread of Islamic art and religion across the Middle East, North Africa, Spain, Sicily, Iran, India, and Central Asia; emphasizes the meaning of religious imagery. ","(Undergraduate)"
"IWS 255","MIDDLE EAST POLITICS","Islamic World Studies (IWS)","4 quarter hours","This course explores contemporary political issues in the Middle East. It includes country profiles, a review of the Arab-Israeli conflict, analysis of opposing viewpoints about the revival of Islam and about Islamic fundamentalism, and the region's position in the emerging new world order. ","(Undergraduate)"
"IWS 261","RELIGION AND CONFLICT IN SOUTH ASIA","Islamic World Studies (IWS)","4 quarter hours","Religion has become central to conflict in contemporary South Asia. This course examines the relationship between religion and conflict both within and between nations in South Asia. It will examine how religion fuels conflict as well as how religion is used to find a nonviolent resolution to conflict. It will also analyze how religion is used to challenge and resist victimization, marginalization, silencing, and indeed violence during conflict. Finally, the course will examine how the cultural politics of class, gender, ethnicity, and sexuality constitute and are constituted by religion. ","(Undergraduate)"
"IWS 263","RELIGION AND POLITICS IN THE MIDDLE EAST","Islamic World Studies (IWS)","4 quarter hours","An exploration of Judaism, Christianity and Islam as they develop and interact in the Middle East, historically and in terms of contemporary religious and political issues. Includes a study of personal narratives of people from Jewish, Christian and Muslim communities. ","(Undergraduate)"
"IWS 265","ISLAMIST POLITICAL MOVEMENTS","Islamic World Studies (IWS)","4 quarter hours","This course will introduce the student to Islamic political movements around the globe. The course will look at their history as well as their intellectual and theological underpinnings. ","(Undergraduate)"
"IWS 266","ISLAM IN THE UNITED STATES","Islamic World Studies (IWS)","4 quarter hours","This course will explore Muslim cultures in Canada and the U. S. While the course may also investigate histories, ethnicities and religious ideologies, the organizing focus will be on struggle, contestation, maturity and change. Although Canadian provinces and U.S. states claim that religion should present no bar to full participation in the public square and religious discrimination is illegal, Muslims, in fact, are challenged as citizens. Living in religious Diasporas as minorities, communities north and south of the Canadian border, Muslims have found themselves contesting notions of integration, pluralism and acculturation. Often labeled ""as the enemies within,"" Muslims have laid their claims as productive citizens, determined to contribute to the security, welfare and advancement of their home. ","(Undergraduate)"
"IWS 272","GENDER AND SEXUALITY IN MUSLIM CULTURES","Islamic World Studies (IWS)","4 quarter hours","Explores historical and contemporary trends in writing on Muslim women along modern and contemporary narratives on gender and sexuality in Muslim majority and minority cultures. ","(Undergraduate)"
"IWS 278","HADITH: TRADITIONS OF THE PROPHET MUHAMMAD","Islamic World Studies (IWS)","4 quarter hours","This course will introduce students to the hadith (the tradition of the Prophet Muhammad). The course will look at the historical development of the collection, study, and criticism of the hadith. Students will learn the utilization of the hadith in the establishment of Muslim religious practices, law, political and cultural norms. Students will become familiar with the technical terms that are utilized by the scholars of hadith. Students will also come to understand the modern debates about hadith study and hadith utility (or lack there of) in the modern world. ","(Undergraduate)"
"IWS 280","THE POLITICS OF FOOD, HISTORY, AND IDENTITY IN THE BALKANS","Islamic World Studies (IWS)","4 quarter hours","This course explores how food, politics and identity intertwine in the Southeastern corner of the European continent, known as the Balkans. The region has always been considered as a ""gastronomic hub"" and a geographical and cultural bridge between Europe and Asia, East and West. This area includes today, entirely or partially, some 13 countries, with a total population of around 60 million, and has been since ancient times a crossroads of history, religions and culinary traditions. In spite of its strategically vital geopolitical location, the Balkans is still less known for many, it's often labeled as the ""Other Europe."" Further, in the imagination of Western Europe, the Balkans has come to be associated with stigmatizing stereotypes of instability, nationalistic wars, and backwardness. In this course, we'll analyze the interplay between food and identity, nationalism and gastronomy, and culture and history in one of the most gastronomically rich and tasty regions of Europe. ","(Undergraduate)"
"IWS 281","TALES OF POLITICAL DYSTOPIA: STORYTELLING AFTER THE BERLIN WALL","Islamic World Studies (IWS)","4 quarter hours","Southeastern Europe has long been thought of as the ""Other Europe,"" a region rife with political upheaval and an astonishing variety of ethnic diversity. The extraordinarily rich literary tradition of the region is a mirror of the painful events and transformations that have historically occurred through the region. This course will examine and focus on the literature of Southeastern Europe - from Albania to Poland and from Bosnia to Ukraine - emerging after the fall of the Berlin Wall (1989): an event that was followed by an unprecedented cultural and literary revival. ","(Undergraduate)"
"IWS 294","MEDIEVAL PHILOSOPHY","Islamic World Studies (IWS)","4 quarter hours","A study of selected thinkers and issues from the Medieval period. (PHL 100orHON 105or any 200-level PHL course) is a prerequisite for this class. ","(Undergraduate)"
"IWS 295","SHI'ITE ISLAM","Islamic World Studies (IWS)","4 quarter hours","This course will look at the history and the various divisions of Shi'i Islam. ","(Undergraduate)"
"IWS 301","ARAB BROADCAST MEDIA","Islamic World Studies (IWS)","4 quarter hours","This course improves students' competence in listening, reading comprehension, writing, and presentation skills in the content of Arab media. The main language of instruction will be Modern Standard Arabic (MSA), the language of Arab news. Both instructor and students will be using MSA as the main language for communication. Classroom instruction will assist students in acquiring and using Arabic vocabulary needed for understanding and analyzing authentic Arabic media material. The course will focus on five main topics: (1) Meetings and Conferences, (2) Demonstrations, (3) Elections, (4) Courts and Trails, and (5) Finance and Business. In addition to topics and vocabulary covered in the required textbooks, students will listen to and discuss authentic news items. They will also be exposed to Egyptian dialect.ARB 106or equivalent, including placement test or permission of instructor, is recommended. ","(Undergraduate)"
"IWS 302","AFRICAN ISLAM: ISLAMIC ART & ARCHITECTURE IN SUB-SAHARAN AFRICA","Islamic World Studies (IWS)","4 quarter hours","Focused study of the impact of Islam on the artistic traditions of sub-Saharan Africa. Rather than necessarily replacing previous art forms, this course investigates in what circumstances preexisting visual culture might be integrated with the requirements and needs of Islam. This approach necessitates an understanding that neither Islam nor African art are monolithic entities, but rather their interactions represent a wide variety of negotiations across the continent. Likewise, this course will consider specific historical circumstances to which Islamic art in sub-Saharan Africa has responded in terms of form and content. ","(Undergraduate)"
"IWS 303","ARABIC PRINT MEDIA","Islamic World Studies (IWS)","4 quarter hours","This course consists of intensive exposure to vocabulary and expressions characteristic of language used in Arab media. The course will rely on newspaper articles and authentic material in addition to the Media Arabic textbook. The focus of the course will be on enforcing vocabulary learned inARB 301that will assist students in understanding the content of Arab print Media and translating texts into English. Presentations and discussions will be used to enforce meaning and increase vocabulary retention and proper use.ARB 106or equivalent, including placement test or permission of instructor, is recommended. ","(Undergraduate)"
"IWS 306","GLOBAL EMPIRES","Islamic World Studies (IWS)","4 quarter hours","In this course, students gain an acquaintance with theories of imperialism and post-colonial theory through historically situated studies. 'Power' serves as the generative concept for this course, to be understood as emergent at multi-scalar levels. ","(Undergraduate)"
"IWS 307","WOMEN IN THE MIDDLE EAST: BEYOND THE VEIL","Islamic World Studies (IWS)","4 quarter hours","This course explores how Middle Eastern Women have been represented in the media outside of the Middle East, by Arab women scholars, and ""Third World"" feminists and challenges these representations by focusing on issues such as veiling, the everyday lives of Middle Eastern Women, political activism, literary works, economics and social class, and media representations. ","(Undergraduate)"
"IWS 308","NATURE AS RESOURCE: MINING & EXTRACTION'S IMPACT ON ENVIRONMENT & SOCIETY","Islamic World Studies (IWS)","4 quarter hours","Environmental crises such as climate change, pollution, loss of habitats and species etc. are directly linked to human activity and the treatment of the natural world as a mere resource. This course investigates the impact and consequences of mining and extractive industries on societies and the environment. The extraction and consumption of minerals and fossil fuels have increased so dramatically since the end of the Cold War and the advent of neoliberal globalization that a consensus has emerged that we now live in a `mineral age' defined by this new extractivism. We will analyze the dynamics behind this new extractivism and its environmental and social consequences. Various critical theories of the relationship between nature and society will be studied. Case studies will explore mining and fossil fuel extractions in Asia, Africa, Middle East, Latin and North Americas. We will investigate the role of multinational corporations, lobbyists, technical and scientific experts, and state actors in extractive industries, and how they affect local populations, labor relations, and social and natural habitats. ","(Undergraduate)"
"IWS 311","ARABIC SHORT STORIES","Islamic World Studies (IWS)","4 quarter hours","A survey of the history and development of short stories in Arabic literature from various Arab countries with focus on language, content analysis, forms, and cultural content relevant to major elements of Arab culture.ARB 106or the equivalent, including placement test or permission of instructor, is recommended. ","(Undergraduate)"
"IWS 313","ARABIC FILM","Islamic World Studies (IWS)","4 quarter hours","Survey of the development of Arabic films in the Arab world with examination of sample works from various periods that allow reflection on Arab culture and the social, political, and religious issues that define that culture.ARB 106or the equivalent, including placement test or permission of instructor, is recommended. ","(Undergraduate)"
"IWS 316","RELIGION, NATIONALISM AND POLITICS","Islamic World Studies (IWS)","4 quarter hours","This course looks at the role of religion, nationalism and ethnicity in contemporary political life. Attention is given to the various theories for explaining modern religious politics. The course also examines the phenomenon in practice. Case studies are drawn from a variety of regions and traditions. ","(Undergraduate)"
"IWS 318","SOCIETY, POLITICS AND CULTURE IN THE MIDDLE EAST","Islamic World Studies (IWS)","4 quarter hours","This course will examine the formations of the historical and contemporary social relations of power in the Middle East by questioning the prevalent stereotypes of the region. The main focus will be on the critical investigation of relations of gender, the complexities of state formations, and the dynamics of the contemporary social counter-movements. The latter range from cosmopolitan popular uprisings (Green Movement in Iran, the Arab Spring), to ideological Islamist formations (ISIS, Muslim Brotherhood, etc.). ","(Undergraduate)"
"IWS 330","ISLAMIC LAW, ITS HISTORY AND MODERN APPLICATIONS","Islamic World Studies (IWS)","4 quarter hours","This course is a brief introduction to Islamic Law and its history including case studies of its modern applications. Students will trace the history of Islamic legal theory from its beginnings until the modern period. The focus is on the early formation of theory-its major themes and arguments along with the variety of doctrines that contribute to it. Students will examine how the socio-religious realities interface with the production of legal discourse as they build on previous coursework on modern reformers and the sources of law. This course will also explore the ongoing conversations over religious faith as the basis of a legal system. Last, we transition to the contemporary period through case studies where we will consider how the case connects with or departs from these larger debates and the different contemporary methodologies and arguments used. ","(Undergraduate)"
"IWS 340","SPECIAL TOPICS IN ISLAMIC WORLD STUDIES","Islamic World Studies (IWS)","4 quarter hours","See schedule for current offerings. ","(Undergraduate)"
"IWS 341","POLITICAL ISLAM AND AMERICAN FOREIGN POLICY","Islamic World Studies (IWS)","4 quarter hours","This course examines the historical development of the international Islamist movement and the U.S. government's response to it. The course will include a review of Islamist ideology and the debates over how to deal with the militant challenge. The course also examines U.S. policies in the post 9/11 period. ","(Undergraduate)"
"IWS 350","ARABIC LITERATURE","Islamic World Studies (IWS)","4 quarter hours","This course introduces the students to Modern Arabic Literature in form, language, and content. It will focus on various genres, including poetry, drama, the novel, and short stories. Works by major Arab writers and poets representing various regions and content will be examined and analyzed to develop an appreciation for Arab literature and a deeper understanding of their portrayal of Arab culture.ARB 106or the equivalent, including placement test or permission of instructor, is recommended. ","(Undergraduate)"
"IWS 372","CAIRO: MOTHER OF THE WORLD (WORLD CITIES)","Islamic World Studies (IWS)","4 quarter hours","This course will examine the urban development and architectural heritage of Greater Cairo, Egypt since the reconstruction of the fortress of Babylon in the Roman period, through the establishment of Cairo itself in 969, and until the present. Cairo has always been a crossroads of cultures, set between Africa, Europe, and the Middle East. It has been home to significant Jewish, Christian and Muslim populations who have been impacted by the various ruling dynasties who have held sway there, including the Byzantines, early Islamic rulers, Tulunids, Shi'i Fatimids, and later Sunni Ayyubids, Mamluks, and Ottomans. In the 20th century, rapid expansion has produced extreme pressures on transportation networks and housing. The solution to such problems of intense urbanization has been to build satellite cities including a projected new capital to the east that will connect the Nile to the Red Sea shipping industry, following in the footsteps of the past. ","(Undergraduate)"
"IWS 390","THEORIES AND METHODS IN ISLAMIC STUDIES","Islamic World Studies (IWS)","4 quarter hours","This course examines the methodologies and theories that have shaped the field of Islamic Studies from its foundation in Europe through the present day. Students will become familiar with the different theories with regards to Islamic origins and the methodological approaches that are at the foundation of these theories. Students will also learn about the interplay between power and scholarship and its effects on the production of knowledge. Doing the above students will learn the mechanics of research in the field. IWS 191 andIWS 192are prerequisites for this course ","(Undergraduate)"
"IWS 399","INDEPENDENT STUDY","Islamic World Studies (IWS)","4 quarter hours","Independent study designed for majors. ","(Undergraduate)"
"ITA 101","BASIC ITALIAN I","Italian (ITA)","4 quarter hours","This course is an introduction to the language and culture of Italy, the first in the three-quarter beginning Italian sequence. Focus is on the development of reading, writing, speaking, and listening skills and the study of Italian culture through language. Class activity will consist mainly of interactive oral exercises based on material in the textbook, online, and from other sources. The course aims to provide students with basic functional skills in Italian. Italian 101 focuses on introducing and talking about oneself (interests, occupation, leisure activities, likes, dislikes), ordering in a cafe and restaurant, addressing others formally or informally, and everyday life. By the end of the beginning Italian sequence, students should be able to engage in basic conversation on a variety of topics, write simple paragraphs, and read passages in contemporary Italian. ","(Undergraduate)"
"ITA 102","BASIC ITALIAN II","Italian (ITA)","4 quarter hours","This course is an introduction to the language and culture of Italy, the second in the three-quarter beginning Italian sequence. Focus is on the development of reading, writing, speaking, and listening skills and the study of Italian culture through language. Class activity will consist mainly of interactive oral exercises based on material in the textbook, online, and from other sources. The course aims to provide students with basic functional skills in Italian. Italian 102 focuses on talking about social network (e.g. family, friends, colleagues), food and dishes, lifestyle and daily routine, planning and managing a trip, communicating past events or activities. By the end of the beginning Italian sequence, students should be able to engage in basic conversation on a variety of topics, write simple paragraphs, and read passages in contemporary Italian. ","(Undergraduate)"
"ITA 103","BASIC ITALIAN III","Italian (ITA)","4 quarter hours","This course is an introduction to the language and culture of Italy, the third in the three-quarter beginning Italian sequence. Focus is on the development of reading, writing, speaking, and listening skills and the study of Italian culture through language. Class activity will consist mainly of interactive oral exercises based on material in the textbook, online, and from other sources. The course aims to provide students with basic functional skills in Italian. Italian 103 focuses on describing one's personality and appearance (for example one's physical traits and fashion style), carrying out a survey and talking and asking about future events, renting an apartment, talking about animals, understanding Italian social habits, traditions, diversity. By the end of the beginning Italian sequence, students should be able to engage in basic conversation on a variety of topics, write simple paragraphs, and read passages in contemporary Italian. ","(Undergraduate)"
"ITA 104","INTERMEDIATE ITALIAN I","Italian (ITA)","4 quarter hours","This course is the first quarter of the second-year sequence in Italian language and culture. It gives students the opportunity to expand and improve the four basic language skills (speaking, understanding, reading, writing) while exploring Italian culture through study of the language. Class activity will consist mainly of interactive oral exercises based on material in the textbook, online, and other sources. By the end of the intermediate Italian sequence, students should be able to engage in conversation with native speakers on a variety of everyday topics, communicate in writing through social media, formal correspondence, and short compositions and understand a variety of authentic Italian texts.ITA 103or equivalent, including placement test or permission of instructor, is recommended. ","(Undergraduate)"
"ITA 105","INTERMEDIATE ITALIAN II","Italian (ITA)","4 quarter hours","This second is the first quarter of the second-year sequence in Italian language and culture. It gives students the opportunity to expand and improve the four basic language skills (speaking, understanding, reading, writing) while exploring Italian culture through study of the language. Class activity will consist mainly of interactive oral exercises based on material in the textbook, online, and other sources. By the end of the intermediate Italian sequence, students should be able to engage in conversation with native speakers on a variety of everyday topics, communicate in writing through social media, formal correspondence, and short compositions and understand a variety of authentic Italian texts.ITA 104or equivalent, including placement test or permission of instructor, is recommended. ","(Undergraduate)"
"ITA 106","INTERMEDIATE ITALIAN III","Italian (ITA)","4 quarter hours","This course is the third quarter of the second-year sequence in Italian language and culture. It gives students the opportunity to expand and improve the four basic language skills (speaking, understanding, reading, writing) while exploring Italian culture through study of the language. Class activity will consist mainly of interactive oral exercises based on material in the textbook, online, and other sources. By the end of the intermediate Italian sequence, students should be able to engage in conversation with native speakers on a variety of everyday topics, communicate in writing through social media, formal correspondence, and short compositions and understand a variety of authentic Italian texts.ITA 105or equivalent, including placement test or permission of instructor, is recommended. ","(Undergraduate)"
"ITA 130","STUDY ABROAD","Italian (ITA)","2 quarter hours","This course is specially designed to complement the Modern Language Introductory Languages Study Abroad programs, linked to the third quarter of the first year language program. The course will be taught abroad. ","(Undergraduate)"
"ITA 197","SPECIAL TOPICS IN ITALIAN","Italian (ITA)","4 quarter hours","See schedule for current offerings. ","(Undergraduate)"
"ITA 198","STUDY ABROAD","Italian (ITA)","1-8 quarter hours","Variable credit. ","(Undergraduate)"
"ITA 199","INDEPENDENT STUDY","Italian (ITA)","0.5-8 quarter hours","Variable credit. ","(Undergraduate)"
"ITA 260E","EAT ITALY: THE HISTORY, CULTURE AND POLITICS OF ITALIAN FOOD","Italian (ITA)","4 quarter hours","TAUGHT IN ENGLISH. In this course students will look at the modern and contemporary history of Italian food in Italy and the United States to explore and reflect on the material, symbolic, personal, and political implications of this global commodity. Through a variety of primary sources both textual and visual and multidisciplinary critical sources, students will discuss the symbolic and material forces that shaped food choices; the production, marketing, preparation, and consumption of meals; and the access to food from Italy's Unification to the present. Weekly topics will span from cinema's most memorable Italian meals to ethnographic studies of everyday meals in twenty-first century Italian families; from the success of Pellegrino Artusi's cookbook to the star system of Italian-American celebrity chefs to Italian-American culinary literature. The course will conclude with a small-group practicum in which students will document and reflect upon their own process in preparing and eating an Italian meal. ","(Undergraduate)"
