"course_code","course_title","department","credits","description","level"
"ACC 380","TAX TREATMENT OF INDIVIDUALS AND PROPERTY","Accountancy (ACC)","4 quarter hours","Tax Treatment of Individuals and Property covers the basic provisions of the Internal Revenue Code as they relate to the taxation of individuals. It focuses on concepts of gross income, exclusions, deductions, exemptions, and credits, as well as property transactions. It also includes tax research. A grade of C- or better inACC 304or ACC 307 is a prerequisite for this class. ","(Undergraduate)"
"ACC 383","TAX TREATMENT OF CORPORATIONS AND PARTNERSHIPS","Accountancy (ACC)","4 quarter hours","Tax Treatment of Corporations and Partnerships is a continuation of Accounting 380. The course covers the tax aspects of corporations and partnerships, including formation, operations, and distributions, as well as specially taxed corporations, ethics in tax practice, and an introduction to estate and gift taxation. A grade of C- or better inACC 380is a prerequisite for this class. ","(Undergraduate)"
"ACC 393","INTERNSHIP IN ACCOUNTANCY","Accountancy (ACC)","4 quarter hours","Earn experiential learning credit for your real world practice in accounting. Students obtain internships on their own through campus resources or other professional networks. There are no in-person class meetings. Use your workplace experience alongside online coursework related to professional development and engagement. Students' work position takes place during the quarter enrolled for at least 15 hours per week with accounting responsibilities such as financial accounting, management accounting, auditing, tax, or consulting. A grade of C- or better inACC 102is a prerequisite for this class. ","(Undergraduate)"
"ACC 399","INDEPENDENT STUDY","Accountancy (ACC)","4 quarter hours","Independent Study is available to students of demonstrated capability for intensive independent work in accountancy. (variable credit) ","(Undergraduate)"
"ACC 500","FINANCIAL ACCOUNTING","Accountancy (ACC)","4 quarter hours","This introduction to financial accounting provides both a theoretical foundation and an opportunity to apply accounting logic in increasingly complex situations.  The accounting model and information processing cycle are developed.  The content of the income statement, balance sheet, and statement of cash flows are studied in detail and analyzed. MS in Taxation and MSAA students are restricted from registering for this class. ","(Graduate)"
"ACC 502","FINANCIAL ACCOUNTING FOR MANAGERIAL DECISION MAKING","Accountancy (ACC)","4 quarter hours","This course introduces accounting fundamentals, with an emphasis on the interpretation and use of financial statements.  Specifically, the class focuses on how financial statements reflect a firm's major economic events, and many class examples are based on real-world financial statements. By the end of the course, students will be able to understand and use basic internal and external financial information. ","(Graduate)"
"ACC 535","PRINCIPLES OF ACCOUNTING INFORMATION SYSTEMS","Accountancy (ACC)","4 quarter hours","This course is designed to provide future accounting and business professionals with knowledge and practice about accounting information systems and their role in accounting functions and financial decision making.  It will enable the student to interface with accounting systems, and to participate in their design and audit.  It will focus on the nature and flows of accounting information in organizations, security and internal controls and the use of information technology in accounting information systems and decision-making.  The student will be able to evaluate internal control in information systems and design controls to mitigate risks associated with information systems. (ACC 500orACC 502or its equivalent) or (status as an MS Audit and Advisory Services student) is a prerequisite for this course. ","(Graduate)"
"ACC 541","FINANCIAL ACCOUNTING THEORY & PRACTICE I","Accountancy (ACC)","4 quarter hours","Intermediate theory and preparation of financial statements; review of accounting concepts and development of accounting models; methods and problems in valuation and reporting; with emphasis on current assets and liabilities, property, plant and equipment, and intangibles, review of relevant authoritative literature. ACC 500orACC 502or equivalent is a prerequisite for this class. ","(Graduate)"
"ACC 542","COST AND MANAGERIAL ACCOUNTING","Accountancy (ACC)","4 quarter hours","Introduction to cost and managerial concepts and techniques.  Topics include cost accumulation (job, process, standard costing, and activity-based costing), cost behavior, breakeven analysis, budgeting, contribution approach to income measurement, joint and by-product costing, cost allocation methods, and their relevance for decision-making. ACC 500orACC 502or equivalent is a prerequisite for this class. ","(Graduate)"
"ACC 543","FINANCIAL ACCOUNTING THEORY & PRACTICE II","Accountancy (ACC)","4 quarter hours","Continuation of intermediate theory and financial statement preparation with emphasis on the components of stockholder's equity; special problems such as earnings per share, accounting changes, income taxes, derivatives, and statement of cash flows; review of relevant authoritative literature and interpretation of financial statements. ACC 541is a prerequisite for this class. ","(Graduate)"
