course_code,course_title,course_description,course_credits
Business Analytics and Big Data,BADA400,"This course provides students with a consideration into what ‘big data’ encompasses and how it applies to business analysis. Students explore various approaches, including map-reduce workflows, cleaning data, Talend, and Hadoop. The course further discusses the fundamentals of big data and the 6 V’s (volume, velocity, variety, veracity, valence, and value) as they relate the process of data analysis.",4
Data Mining for Results,BADA430,"Students who take this course have the opportunity to understand that data analytics’ main focus lies with identifying meaningful patterns in data. Emphasis of the course material focuses on classification, clustering, and sequential pattern discovery. Using the PBL model, students examine effective strategies to identify meaningful data patterns and apply that knowledge toward developing strategies for addressing various organizational and business considerations.",4
Data-Driven Decision Making,BADA440,This course provides an in-depth exploration of how businesses and organizations use data analytics to drive strategic decision-making. Students will have the opportunity to learn how to analyze and interpret data to support evidence-based decisions.,4
Data Analytics for Business,BADA610,"This course presents analytic strategies for decision-making within real-world business and organizational contexts. Topics include descriptive and prescriptive data mining foundations and techniques along with identifying trends, forecasting, and making data-driven strategic decisions within an enterprise. These topics help students grasp the value of the knowledge contained in the data gathered by an organization and its impact on its operations and strategic plans.",4
Time Series Analysis,BADA620,This course examines time series analysis methods with a focus on business and organizational contexts. Students will have the opportunity to apply practical skills to discover the important features that must be considered when describing and modeling a time series for organizational strategic planning. In this course students explore time series analysis using the Box Jenkins ARMA (autoregressive moving average) and ARIMA (autoregressive integrated moving average) models.,4
Data Analytics Visualization and Presentation,BADA630,"The data analytics visualization and presentation course prepares students to communicate using tools of investigation to show meaningful insights that illustrate new trends or highlight patterns from the data. This course provides a foundation in the principles, concepts, techniques, and tools for turning enterprise analysis of data into insight. Topics in this course include presenting quantitative information to decision-makers and stakeholders, developing analytical stories, and avoiding the pitfalls of data misinterpretation.",4
IT Governance and Risk Management,BADA640,"This course introduces the principles of IT governance and risk management in the context of business analytics. Students will have the opportunity to explore strategies for aligning IT with business goals, managing risks, ensuring compliance, and safeguarding data security.",4
Contemporary Business Trends,BADM150,This course introduces the student to emerging business trends. It covers how these trends act as competitive advantages as well as market disruptors. Emphasis is on how  business trends influence businesses and how an organization must adapt or respond to these from both a strategic and tactical perspective.,4
Special Topics in Business Administration.,BADM299,This course addresses issues of current interest in business administration.  Course content will vary as determined by student interest and evolution of the discipline.,1-6
Quality Management,BADM370,"During this course, the student investigates the emerging principles of quality and its implementation. Explores the processes and values for implementing quality, self-managed work teams, principles of quality, and the importance of including quality as a business strategy. Covers how to examine and improve work processes in the organization.",4
Quality Management,BADM372,"In this course, students investigate the emerging principles of quality management and its implementation to promote organizational success and sustainability. The course explores the importance of quality management as a business strategy and it covers key quality management concepts in the organization such as the role of leadership in the quality decision-making processes, customer-driven initiatives, process improvement, and employee involvement.",4
Special Topics in Business Administration.,BADM399,This course addresses issues of current interest in business administration.  Course content will vary as determined by student interest and evolution of the discipline.,1-6
Research Design Methods and Applications,BADM440,"This course is designed to provide the basics of research needed to successfully complete the business capstone courses. It covers the full cycle of research starting with a qualitative examination of an organizational phenomenon and then addresses how to measure it via survey, experiments, or other designs. It concludes with issues of verification and implementation based on the outcome of the quantitative phase. It also includes the topics of scale development, reliability, validity, confirmatory factor analysis, and issues of survey development and implementation.",4
Small Business Management and Entrepreneurship,BADM475,"During this course, the student will explore the fundamentals of business organization, operation and management. The course deals with the characteristics and activities of the business executive, managerial relationships, accountability and the entrepreneur. It requires the student to conduct application and synthesis of other material in order to create a business plan.",4
Senior Project,BADM485,"This course provides a forum for senior status students to refine and enhance their organizational, research, writing and presentation skills.  The instructor approved topic is chosen by the students because of its real world relevance, application and connection to the studentsâ major area of study, interest and workplace relevance.  Students will be working under the guidance of a skilled faculty member.",1-6
Advanced Research and Study,BADM495,"This course is an independent in-depth research project.  Credits are assigned based on the complexity and depth of the research project, which must be preapproved.",1-6
Special Topics in Business Administration.,BADM499,This course addresses issues of current interest in business administration.  Course content will vary as determined by student interest and evolution of the discipline.,1-6
Financial and Managerial Accounting for Decision Making,BADM810,The course will cover the use of finance and accounting informatics to better understand the financial profile of a company to make informed decisions.  The course will include the evaluation of historical and current financial and accounting data to determine the future direction of the organization.,4
Foundations of Economic Theory and Practice,BADM820,"The course covers microeconomics, macroeconomics, and international economics at the theory and practice levels.  The course will cover economic theories on supply, demand, production costs, competition, employment, money, government, international trade, and finance.  The course will have students apply concepts to the business market and their professional and personal lives.",4
Strategic Management,BADM830,The course will examine how to formulate competitive strategies within competitive and global business frameworks.  The course will cover strategy planning to strategy implementation processes.,4
Business Legal and Ethical Environment,BADM840,"The course will focus on the ethical and legal framework of businesses.  The course will cover many aspects of law and ethics including legal foundations of business, contract law, international law, governance, ethical theories, environmental laws, corporate social responsibility, and ethical practices throughout the value chain of a business.",4
Marketing Strategy for the 21st Century,BADM850,"This course will cover the use innovation and emerging marketing techniques to develop marketing strategy for competitive advantage.   The course will integrate innovation into the product development, product positioning, and new markets identification process.",4
IT for Business Operations Optimization,BADM860,This course focuses on using technology to optimize business operations and process improvements.  The course will cover the use of IT applications and data analytics to optimize value chain operations and make informed decision.,4
Organizational Behavior and Management,BADM870,"The course will cover how individuals and groups interact within an organization.  The course will explore the considerations leaders face as they lead individuals and groups to meet organizational goals and objectives.  The course will cover topics such as motivation, organizational culture, and diversity.",4
