course_code,course_title,course_description,course_credits
Interagency Relationships in Homeland Security,HLS315,"This course is designed to introduce the student to the nature of the relationships that exist between the various agencies involved in Homeland Security and Emergency Management.  Federal, state, and local agencies all play a role in Homeland Security and Emergency Management, and this course helps the student to understand how the various agencies interact with each other and work together to protect this nation from all types of hazards and threats.  Students will also develop their leadership skills, a vital component to successful communication and coordination with other agencies.",4
Private Sector Role in Homeland Security,HLS320,"This course introduces the student to the role of the private sector in Homeland Security and Emergency Management.  The student will learn about the functions of private organizations involved in Homeland Security and Emergency Management, including collaboration between public and private agencies.  The student will also develop a strategic plan for a private agency.",4
Research Methodology and Policy Analysis,HLS325,"Understanding the role of research and policy analysis in homeland security and emergency management is incredibly critical.  Students will learn and demonstrate knowledge of research methodology within the homeland security and emergency management system and become familiar with the range and scope of quantitative and qualitative tools available to the criminal justice researcher. This course will assess the homeland security and emergency management system including research theory, inquiry structure, and modes of observation, data interpretation, program evaluation, and policy analysis.  This course is designed to give the student a fundamental understanding of statistical analysis, developing and constructing a research plan, and evaluating the results of said research in the context of Homeland Security and Emergency Management.",4
Advanced Application of Homeland Security and Emergency Management Technologies,HLS330,"This course takes a practical look at the limitations presented by current technology.  Also, this course introduces the student to the concept of interoperability, which addresses the ability of diverse agencies and jurisdictions to communicate, to exchange data, and to use that information effectively.",4
Emergent Topics in Homeland Security and Emergency Management,HLS340,This course introduces the student to topics on the forefront of Homeland Security and Emergency Management.  This course is designed to reflect the most current state of discourse on topics relating to Homeland Security and Emergency Management.,4
Introduction to Intelligence,HLS350,"This course introduces the student to the principles of intelligence, the different intelligence disciplines, the intelligence cycles, and the intelligence community.",4
Counterintelligence,HLS360,"This course introduces students to counterintelligence concepts, such as counterintelligence basic principles, concepts, missions, and functions. Students will also be introduced to counterintelligence operations and techniques.  Students will also learn the history and evolution of counterintelligence in the United States.",4
Constitutional Law and Public Policy Analysis,HLS400,"In this course students will discuss and analyze concepts of Constitutional Law and Public Policy as they apply to Homeland Security. Students will also evaluate homeland security policies in terms of their effects on civil liberties, and the public’s involvement in homeland security.",4
The Psychology of Fear Management and Terrorism,HLS410,"This course looks at the motivations of terrorist groups, and the psychological impact of terrorist attacks.  It will aid the student in understanding the role of government and the media in shaping the public perception of, and response to, terrorist events.",4
Strategic Planning and Budgeting for Homeland Security and Emergency Management,HLS420,"This course further develops the studentâs knowledge base for strategic planning and budgeting, building on the concepts learned inHLS200, Introduction to Homeland Security Strategy, taking a more in-depth look at the strategic planning process.",4
Planning for Homeland Security and Emergency Management,HLS430,"This course is designed to introduce the student to the planning process for Homeland Security and Emergency Management.  Students will be introduced to the ""how-to"" aspects of planning.",4
Local Emergency Management and Civil Preparedness,HLS450,"This course is designed to help students develop their knowledge in the area of local emergency management. Students will explore the challenges faced by local agencies, such as communication and coordination. Students  will work to develop strategies to implement at the local level to enhance civil preparedness.",4
Advanced Application of Intelligence in Homeland Security,HLS460,"This course looks at the relationship between local law enforcement and the intelligence community. It introduces the student to state and local intelligence activities, and it discusses policing and actionable intelligence.",4
Evaluating Risk in Critical Infrastructure,HLS470,"This course introduces students to the fundamentals of risk assessment.  At the completion of the course, students will be able to understand the value of various risk tools, and apply those tools to any critical infrastructure to reduce the risk associated with future terrorist attacks.  The aim of this course is to show how to analyze critical infrastructure systems, their weaknesses, and how to formulate strategies that allocate resources in the most efficient and effective manner.",4
Knowledge Into Practice: Communications and Emergency Planning,HLS480,"This course integrates many of the primary areas of focus in Homeland Security and Emergency Management, such as: intelligence, strategic planning, critical infrastructure, research and analysis, technology and strategic communications.  The student will develop an emergency plan in one of the four primary areas of preparedness, response, mitigation, or recovery.",4
Homeland Security Fundamentals,HLS600,"This course provides an overview of the essential ideas that constitute the emerging discipline of homeland security. It has two central objectives: to expand the way participants think, analyze and communicate about homeland security; and to assess knowledge in critical homeland security knowledge domains. These domains include  strategy, history, terrorism, fear management, crisis communication, conventional and unconventional threats, network leadership, weapons of mass destruction, lessons learned from other nations, civil liberties and security, intelligence and information, homeland security technology, and analytics.",4
Dynamics of Terrorism,HLS610,"The purpose of this course is to provide an introduction to the operational and organizational dynamics of terrorism.  It considers those who act as individuals, in small groups or in large organizations. It also considers indigenous actors as well as those who come to the United States to raise money, recruit or commit their acts of violence. In every instance, its focus is on violent, clandestine activity that, whatever its motivation, has a political purpose or effect. The course addresses such specific topics as suicide terrorism, the role of the media, innovation and technology acquisition, the decline of terrorism, and ways of measuring the effect of counterterrorism policies and strategies. The course also looks briefly at sabotage. By the end of the course, students should be able to design effective measures for countering and responding to terrorism based on an understanding of its organizational and operational dynamics.",4
Technology Solutions for HLS,HLS620,"In todayâs Information Age, Homeland Security (HLS) professionals and the agencies they lead are more dependent than ever on technology and information-sharing to strengthen national preparedness. The need to share information through the use of interoperable technologies and to collect and synthesize data in real time has become critical to our national security. This course provides HLS professionals with the requisite knowledge to be able to leverage technology to prevent, protect against, respond to, and recover from terrorist and natural-born incidents. It also provides an in-depth understanding of: inspection, detection, and surveillance technologies; information sharing and knowledge management systems; and communication systems. Students explore and analyze management challenges currently facing HLS professionals, such as: Information Assurance; voice, data and sensor interoperability; and technology implementation and acceptance. This knowledge will facilitate HLS professionals to become more effective technology consumers and help them to recognize opportunities where the application of technology solutions can provide a strategic advantage. The ultimate objective of the course is to enable HLS professionals to effectively evaluate, select, and implement technology to better strengthen capability-specific national priorities.",4
Organizational and Policy Challenges,HLS630,"The War on Terror has focused the nation's attention on homeland security. This course examines key questions and issues facing the U.S. intelligence community and its role in homeland security and homeland defense. Students will have the opportunity to fully address policy, organizational and substantive issues regarding homeland intelligence support. Course reference materials will provide an overview of diverse intelligence disciplines and how the intelligence community operates. Course emphasis will be on issues affecting policy, oversight, and intelligence support to homeland defense/security and national decision-making. The 2004 Intelligence Reform and Prevention of Terrorism Act is addressed and the course is shaped to focus on homeland intelligence support issues at the State/Local/Tribal levels.",4
Vulnerability Analysis and Protection,HLS640,"Critical Infrastructure Protection (CIP) is one of the cornerstones of homeland security. HSPD-7 lists the following critical infrastructure and key resource sectors: Agriculture and Food, Banking and Finance, Chemical, Commercial Facilities, Communications, Dams, Defense Industrial Base, Emergency Services, Energy, Government Facilities, Information Technology, National Monuments and Icons, Nuclear Reactors, Materials and Waste, Postal and Shipping, Public Health and Healthcare, Transportation Systems, and Water. The course begins with an overview of risk, its definition and application to critical infrastructures as it relates to the National Infrastructure Protection Plan (NIPP). We then investigate measures, tools, and techniques for CIP assessment. The course develops a network theory of vulnerability analysis and risk assessment called Model-Based Risk Assessment (MBRA) used to extract the critical nodes from each sector, model the nodes' vulnerabilities by representing them in the form of a fault-tree, and then applying fault and financial risk reduction techniques to derive the optimal strategy for protection of each sector. The sectors are studied in detail in order to learn how they are structured, how regulatory policy influences protection strategies, and how to identify specific vulnerabilities inherent to each sector and its components. At the completion of the course, students will be able to apply CIP techniques (MBRA and others) to any critical infrastructure within their multi-jurisdictional region, and derive optimal strategies and draft policies for prevention of future terrorist attacks or natural disasters.",4
Vulnerability Analysis and Protection,HLS645,"This course allows students to examine Critical Infrastructure Protection (CIP) and Project Management methodologies to address vulnerabilities. The course also looks at the issue of public-private partnerships and the larger role of the private sector in homeland security. The course begins with an overview of risk, its definition and application to critical infrastructures as it relates to the National Infrastructure Protection Plan (NIPP). Students will examine models that study vulnerability analysis, risk assessment, and financial risk reduction. Students will have the opportunity to create optimal strategies and draft policies for the prevention of future terrorist attacks and the mitigation of natural disasters.",4
Homeland Security and Government,HLS650,"The purpose of this course is to provide participants with an insight into the structural, conceptual and intellectual underpinnings and implications of the homeland security project. Looking at a wide range of topics and problems, the course seeks to stimulate a comprehensive discussion of how homeland security professionals and the general public think about homeland security; whether/why there may be significant differences in professional and public perceptions of homeland security; and how those differences constrain/leverage various elements of the homeland security effort. By incorporating a selection of key texts in Western political and social thought alongside current topical writings, the course seeks to equip participants with a deeper understanding of the prevailing discourse and its impact on the homeland security project.",4
Cybersecurity Policy Capstone,HLS655,"This course will serve as the culminating experience of the MS Cybersecurity Policy degree program. The focus will be on bringing together knowledge gained in the area of business, IT/Computer Science, and cyber aspects of Homeland Security.",4
Homeland Security Capstone,HLS685,"The Homeland Security Capstone is designed to integrate and synthesize all coursework in the MSM-HLS program and related areas, allowing the student to demonstrate the professional competencies associated with a broad conceptual and practical understanding of the homeland security field.  Students will evaluate case studies and other materials to demonstrate written competency in the areas of research, law, policy, critical infrastructure protection, and planning, allowing students to incorporate knowledge and experience as they apply ethical principles in developing effective strategies to confront issues facing practitioners within the realm of homeland security.",4
Homeland Security Enterprise,HLS870,"This course will provide the student with a broad introduction to the field of Homeland Security.  Among the topics covered will be: Terrorism, Counterterrorism, American Governance in the Context of Homeland Security issues, Homeland Defense, Defense Support of Civil Authorities, Critical Infrastructures, Transportation and Border Security, Public Health and Emergency Management.",4
"Risk, Resilience and Innovation in Security Policy",HLS872,"This course will focus on the security policy aspects of the homeland security enterprise.  This will include focusing on areas such as: border security and immigration policy; transportation security (road, rail, aviation and maritime); risk analysis, protection and resilience issues surrounding critical infrastructures; cybersecurity policy, and the application of technology.",4
Homeland Security Strategy and Policy,HLS874,"This course will focus on the in-depth study of homeland security-related laws, institutions, governmental structures, and policies.  Among other topics, the course will cover: the role of federal, state and local governments, national strategies relating to homeland security institutions and governance, legal authorities, federal, state and local entities and policies, international models for homeland security laws and institutions, and integration of public and private sector activities.",4
Issues in Public Health and Emergency Planning,HLS876,"This course will focus on the role of emergency management and public health in the homeland security enterprise.  Topics will include: the National Incident Management System, emergency management institutions (federal, state and local government, plus private sector and non-governmental organizations) and their respective roles, disaster management, strategic communications, public health authorities and institutions, the basics of epidemiology and syndromic surveillance, and a primer on infectious disease and biological threats and their potential impacts.",4
Homeland Security Professional Development,HLS878,"This course will focus on refining skills that are needed by employers across the homeland security enterprise.  These include critical thinking, social networking, strategic and public communication, application of risk analysis, and effective written and oral communication (particularly briefings and memos).",4
Building Effective Teams,HRM345,"In this course students will explore the characteristics of diversity and teams in a work environment.  They will explore the opportunities and challenges that arise from a diverse workforce.  In addition, team building and conflict resolution skills will be covered in this course.",4
Management of Human Resources,HRMT215,"This course examines the role and function of the Human Resource Department in the organization and provides an overview of human resource management activities covering the essential employment and managerial tasks required. Topics include, but are not limited to job analysis, performance management, staffing, career development, and diversity and labor relations.",4
Staffing the Organization,HRMT220,"This course examines the legal, technological, and strategic issues related to hiring, recruitment, selecting and staffing an organization. Topics to be considered include: recruitment resources, interview strategies and preparation of interview questions, determining how to ""fit"" in the organization, legislation that affects hiring, reference checks, employment tests, documentation and employee orientation.",4
Managing Employee Performance,HRMT300,"This course examines the nature of performance management, including the role of performance appraisals, performance measurement, and the legal issues impacting performance.  This course also covers methods for conducting performance appraisals, and training needs of managers and employees to provide and receive performance feedback.",4
HRM Legal Environment,HRMT330,"This course examines the following legal regulations: EEOC, COBRA, Fair Labor Standards Act, NLR, ADA and FMLA. The course covers proper procedures to prevent legal problems including issues concerning unions, diversity, grievances, counseling, documentation and termination.",4
Building High-Performing Teams: An HR Perspective,HRMT345,"In today’s dynamic workplace, the ability to cultivate high-performing teams is essential for organizational success. This course offers an in-depth exploration of team dynamics from a Human Resources perspective. Students will explore strategies for fostering collaboration, enhancing communication, and leveraging diversity to drive team performance.",4
Training and Employee Development,HRMT410,"This course emphasizes the role of training and employee development as a strategic aspect of organizational performance. This course also provides students with the opportunity to develop training designs from needs assessment to evaluation, including return on investment. Topics covered include linking training and employee development to organizational strategy, conducting needs assessment, designing and evaluating training and development programs, traditional and contemporary instructional methods --including distance learning -- and using information technology to track and implement training and development programs.",4
Compensation and Benefits,HRMT415,"Compensation plays a critical role in modern organizations. An effective compensation system enables the organization to achieve organizational goals, improve productivity, and motivate employees. This course is designed to provide a working knowledge and a general understanding of compensation and benefits.",4
Managing Labor-Management Relations,HRMT420,"This course explores labor-management relations from union and non-union perspectives. Issues discussed include: the history of unions in the United States, the development of labor laws, collective bargaining, the negotiation process, the grievance system, arbitration and mediation, and employee relations councils. The course concludes with a discussion of the future of unions and labor relations in the United States.",4
Managing Organizational Change,HRMT440,"This course focuses on the theories, stages, practices, and implications of the organizational change process. Some topics discussed include preparing to manage change, articulating choices, envisioning the future, and implementing change programs. Students study organizational development models to apply the change process. The major objective of this course is to equip students with the skills and knowledge needed to address the continuous changes in the organization.",4
Human Resources Capstone,HRMT485,"This course provides the opportunity to demonstrate knowledge, skills, principles and practices learned from experiences in each of the HRMT courses. The Capstone requires applied, scholarly research focusing on a specific question that synthesizes knowledge from and is relevant to the principles and practices of HR.",4
Advanced Research and Study in Human Resource Management.,HRMT495,This course addresses issues of current interest in human resource management.  Course content will vary as determined by student interest and evolution of the discipline.,1-6
Strategic Human Capital Management,HRMT620,"Human capital management (HCM) is the process of aligning an organization’s most valuable asset, their people, with its strategic goals. This course provides a framework for students to integrate human capital management as part of the overall business strategy. By understanding, evaluating, and integrating human capital management practices, businesses apply these approaches both domestically and globally.",4
Operational Human Resource Management,HRMT645,"This course examines the importance of developing effective operational policies and the role of organizational decision-making in that process. It also reviews the ramifications of current laws, ethical considerations, the conflicts around decision making styles, and various aspects of organizational behavior that influence operational policy.",4
Current Legal Issues in Human Resource Management,HRMT650,"The legal environment is constantly evolving and changing for human resources (HR). This course analyzes current legal issues impacting the design and development of HR policy and the impact of these laws on the organization's bottom line. There will be an emphasis on affirmative action, labor downsizing, health care coordinated services, international aspects, negotiation, grievance processes, and diversity.",4
Managing Organizational Development and Change,HRMT655,"Organizations change to improve and meet the needs of consumers and employees. This course is designed to provide a foundation for managers, organization development (OD) consultants, and human resource (HR) professionals to manage organizational development and change from an informed, ethical, and culturally competent perspective. This foundation includes change management principles, the benefits, and the challenges of organizational change.",4
Administration in Healthcare Services,HSA320,"The emphasis in this class is on the organization and administration of health services. This course includes examination of: mission statements; organizational goals and objectives; the role of values and ethics; access and use of services; resource, cost and benefit analysis; delivery models; assessment and assurance of quality.",4
Introduction to IT in Healthcare,HSS100,"This course provides an overview of information technology and its role in healthcare settings.  The language of health information technology, its implications, and the evolution of healthcare technology will be explored.  Specific topics include word processing, spreadsheets, database management, presentation software, and emerging technologies and trends for the future.",4
Introduction to Healthcare Delivery Systems,HSS103,"This course will introduce students to complex healthcare organizations and delivery systems within the United States. Basic concepts and current issues will be discussed to provide understanding of how these systems are organized, managed, and financed. Legal and regulatory influences on the delivery of healthcare will be discussed. Healthcare providers and their role in the delivery of healthcare will be identified.",4
Concepts in Healthcare Organizations,HSS110,"This course  identifies the principles of financial, practice, and human resource management in relation to healthcare organizations.",4
Medical Terminology,HSS121,"This course is an introduction to the language of health care focusing on the construction, definition, spelling, and pronunciation of medical terms, and the definition of common abbreviations and acronyms. Students are introduced to the terminology of complementary and alternative medicine and the importance of culturally competent communication.",4
Fundamentals of Reimbursement in Healthcare,HSS210,"This course is designed to provide students with an overview of the health insurance industry and healthcare reimbursement. Students will be introduced to common medical billing practices and the  financial, regulatory, and business processes that are involved with healthcare reimbursement. Students will have hands-on practice using a simulated electronic health record platform to post payments, make payment adjustments, and interpret insurance cards.",4
Software Applications in Healthcare:  Virtual Learning Experience,HSS215,This course introduces students to the basic components of electronic health record application and its impact on the delivery of healthcare. This course is designed to provide the student with a virtual learning experience that exposes them to common administrative and clinical procedures in healthcare.,4
Ethics in Healthcare,HSS261,This course focuses on the role of ethics in healthcare delivery. The student is introduced to basic ethical principles and its application while considering personal bias within the context of working with diverse individuals.,4.5
Certification Preparation,HSS290,This certification preparation course will recap the competencies provided in the associate level core courses and prepare students to sit for the NHA Certified Medical Administrative Assistant (CMAA) examination.  It provides the student with the opportunity to integrate knowledge learned in the healthcare administration services curriculum. Case studies that will test accumulated knowledge in all areas of the study guide are also included.  Students will be provided with the online study guide and have numerous practice exams in preparation for the actual exam.,4
Capstone in Health Administration Services,HSS295,"This final course in the Associates of Science in Health Administration Services (ASHAS) program, requires  students to demonstrate an understanding and application of the concepts associated with healthcare, finance, human resources, healthcare administration, reimbursement systems and healthcare records, as well as regulatory, ethical and legal issues affecting healthcare organizations.  This course will also help students prepare to sit for the NHA Certified Medical Administrative Assistant (CMAA) examination.",4
Economics of Healthcare,HSS310,"This course builds on the learner’s understanding of the principles of microeconomics   to examine the importance  of economics in healthcare decisions. The economic principles and market conditions impacting the healthcare industry will be discussed. Students are introduced to the various forces influencing the economics of healthcare including but not limited to competition, supply and demand, the role of healthcare providers, consumers and payers, and how public policy Influences the economy of healthcare.",4
Global Health Systems,HSS420,"The rising cost of healthcare in the United States continues to be on the forefront of many political campaigns and discussions.  This course will provide an overview of global health problems and national health systems to provide the student with a perspective on how societies in developed and under-developed countries approach health and healthcare including cultural, economic and political factors. In addition to national systems, the roles played by certain global/international systems such as the Global Health Data Exchange (GHDx), World Health Organization (WHO), certain United Nations (UN) agencies and Non-Governmental Organizations (NGOs), will be explored.   The student will examine the struggles faced by healthcare leaders in managing multiple demands and pressures to contain costs while providing quality care.",4
Healthcare Management Capstone,HSS491,This course is a culmination of prior coursework leading to the demonstration of the achievement of the program competencies. Students will be presented with assignments that will demonstrate integration of knowledge and application of concepts to the management and operations of a healthcare organization.,4
Contemporary Ethics in Action,HUMN102,"This course provides students with an introduction to the concepts that characterize “leaders at all levels”: values, character, conduct, and integrity. Students will be asked to consider issues related to ethics, including an awareness of the impact of technology in their personal and professional lives. Assignments are designed to give students the opportunity to discuss real-world examples and reflect on situations that challenge their own assumptions, values, and principles.",4.5
World Values and Cultures,HUMN250,"This course helps the student understand historical and global cultural perspectives, and how culture is shaped by events, ideas, values and experiences. Specifically, the course is designed to encourage students to develop an appreciation for difference and for the variations and similarities in cultures across the world’s regions and peoples.   The course also presents a framework for identifying the key elements and expressions of culture and how political, intellectual and technological forces can shape them in the 21st century world. Students are encouraged to examine the connections between personal cultural expressions and the larger experience of Humanities shared by humans across the globe.",4.5
Psychological Aspects of Cinema,HUMN400,This course explores the nature of human behavior and psychological theories within cinema. Psychological interpretations  of relationships and interactions  within films are examined. Marketing principles are also reviewed for creating and promoting movies.,4
Leadership and Ethical Decision-Making,INTD600,"This course analyzes the concepts of leadership and management for ethical behavior and legal compliance. It also evaluates ethical decision-making processes and cultural competence. A variety of complex ethical issues confronting industry leaders and professionals are explored. Additionally, a code of conduct at work, methods to implement a code of conduct, and issues related to managing conflicts of interest are reviewed.",4
Leadership and Ethical Decision-Making,INTD670,"The course analyzes the concepts of leadership versus managerial roles and responsibilities relative to societal expectations for ethical behavior and regulatory scrutiny affecting both leaders and managers in an organization setting. This course also differentiates among ethical decision-making processes and decision problems with ethical implications. Students examine a variety of complex ethical issues confronting industry leaders and professionals as they work with various stakeholders of an organization. Additionally, students explore the code of conduct at work, methods to implement a code of conduct, and issues related to managing conflicts of interest within a decision making process.",4
Introduction to Information Technology,IT100,"This course is designed to provide students with knowledge about the fundamentals of Information Technology as they relate to the support of various business needs, including the fundamental aspects of information technologies, the corresponding software and hardware systems, and their typical applications. Students will study how to understand these IT fundamentals and the roles, careers and professional development, legal and ethical issues, and emerging trends in Information Technology.",4
Introduction to Programming Logic,IT106,"This course is the study of programming logic and the application of this logic to problem solving.  In the course we will discuss and apply many approaches to problem solving such as step algorithms, flow charts, truth tables, and pseudo-code.  Students will learn techniques to translate real life problems into forms that will enable computer programs to solve them.  Students will learn and apply programming language constructs (i.e. linear, branching, iteration, subroutines, etc.) using a visual tool.  These techniques and tools should allow students to create and design programming logic that will become a foundational skill for future programming courses.",4
Introduction to Operating Systems and Client/Server Environments,IT140,"This course is an introduction to the basic concepts of operating systems and specialized networking operating system models.  The fundamentals of common operating systems, client/server environments, network infrastructure, theoretic models and system architecture are discussed, including legacy operating system platforms and security processes utilized in today's enterprises.",4
Client/Server Operating Systems,IT145,"This course is an introduction to the basic concepts of operating systems and specialized networking operating system models. The fundamentals of common operating systems, client/server environments, network infrastructure, theoretic models and system architecture are discussed including legacy operating system platforms and security processes utilized in todayâs enterprises.",4
Introduction to Java Programming I,IT151,"This course introduces programming using the Java language.  The basic concepts of object-oriented programming will be discussed in this course.  Topics studied will include algorithmic logic, control structures, data and program design, objects and classes.  Students will complete several Java programs before the end of this course.  This course should prepare students to take Introduction to Java Programming II.",4
Introduction to Java Programming II,IT152,"This course continues the introduction of programming using the Java language.  The foundation of object-oriented programming will be discussed in this course.  Topics studied will include creation of classes and objects, object responsibilities and characteristics, and UML class diagrams.  Students will complete several object-oriented Java programs before the end of this course.  This course should prepare students to take Intermediate Java Programming I.",4
Introduction to Cloud Computing,IT175,"Cloud computing is an approach to computing in which dynamically scalable and often virtualized resources are provided as a service over the Internet.  This course introduces students to the services, virtualization, and challenges within cloud computing environments.",4
Fundamentals of Networking,IT204,"This course serves as an introduction for students to acquire a foundation in current data communication and networking technologies. The course provides an introduction to the hardware, media, Ethernet, addressing, IP Configuration, components, and connections of a network. Network concepts such as network topologies, and major protocols, as well as the basic functions of network administration and operation are covered.",4
IT Support Systems,IT225,"IT Support Systems introduces the increasingly important area of systems support.  Students will develop the skills, concepts and knowledge needed to provide high-quality customer service in an IT systems support organization.  Students will also integrate technical, managerial and communications knowledge to support an applied problem.",4
Intermediate Java Programming I,IT251,"Intermediate Java Programming I builds on the foundation established inIT152Introduction to Java Programming II.  Students will spend more time on object-oriented principles and the Java API.  Topics covered include inheritance, polymorphism, graphical user interfaces, graphics, and debugger tools.",4
Intermediate Java Programming II,IT252,"Intermediate Java Programming II builds on the foundation established in Intermediate Java Programming I.  Students will spend more time on object-oriented features.  Topics covered include debugging tools, files and streams, basic data structures, and collections.",4
Spreadsheet Applications,IT254,"This course introduces students to spreadsheet applications. There is an emphasis on the design, format, functions, and formulas of spreadsheet operations in solving real-world problems. Special attention is paid to data literacy skills, including using spreadsheets to read, interpret, organize, and present data.",4
Data Structures for Problem Solving,IT265,"In this course a student learns the principles behind data structures. Study includes data types, arrays, stacks, queues, lists and trees. Students demonstrate understanding of these principles through the exposure to Object Oriented examples and completion of programs. The course includes projects to evaluate, select and implement an appropriate data structure for specific problems and scenarios.",4
Computer Networks and Communications,IT304,"The Computer Networks and Communications course reinforces the network objectives identified in IT204 course. It presents concepts of data communications and network design within the wide area networking including the operation of telecommunication systems, transmission media and communications hardware, network topologies, switching methods and protocols, security and existing network analysis.",4
Advanced Networking,IT305,"This course focuses on routers, router configuration, and routing protocols by continuing to advance concepts of Cisco routing and introducing students to Juniper router configuration.  Emphasis will be placed on the configuration of routers, managing router hardware and software, and the network infrastructure, identifying and configuring routing protocols based on organizational needs, and the configuration of access control lists (ACL).",4
Network Infrastructure Administration,IT326,"Provides instruction in installing, managing, monitoring, configuring and troubleshooting, DNS, DHCP, Remote Access, Network Protocols, IP Routing, and WINS in a Windows network infrastructure. In addition, this course provides instruction in managing, monitoring, and troubleshooting Network Address Translation and Certification Services.",4
"Implementing, Managing and Maintaining a Network Infrastructure",IT327,"This course provides instruction on implementing, managing, and maintaining a network infrastructure.  The network infrastructure implementation, management, and maintenance topics covered include: implementation of routing; implementation, management, and maintenance of DHCP, DNS, and WIN; security for internet protocol traffic and certificates; implementation of a network access infrastructure to allow remote access; and management and monitoring of network access.",4
Network Infrastructure Design,IT329,"This course provides instruction on how to analyze the business requirements for a network infrastructure, and design a network infrastructure that meets business requirements. Network infrastructure elements include network topology, routing, IP addressing, name resolution such as WINS and DNS, virtual private networks, remote access and telephony solutions.",4
Client/Server System and Network Administration,IT340,"This course provides a foundation to build your understanding of client/server systems management to include systems administration, network design and administration, operating system configuration and application software interfaces.  Windows and UNIX provide a relevant environment for exploration.",4
Advanced Java Programming,IT351,"Advanced Java provides knowledge and proficiency in server-side Java through the use fo JAVA EE and associated resources.  The course includes the use of networking, application development and an introduction to Enterprise Java Beans (EJB) and the JSF framework.  Students will be required to build a web application using JAVA EE facilities including a practical database, Web server and application server.",4
IT Management Strategy,IT375,"This course focus on organizational issues related to developing information technology strategy.  Students examine research in topics such as IT strategy formulation and business alignment; IT organization, structure, and governance; implementation and change management; organizational learning and knowledge management; and evaluation of IT impacts on the organization.",4
Information Technology Architectures,IT401,"The major objective of this course is to introduce the concepts, methodology and terminology of Enterprise Architecture and integrate this knowledge with previous courses in operating systems, database management systems, networking, and programming. The course primarily focuses on the overall planning process of enterprise architecture. Issues and options involved in implementing an enterprise architecture incorporating a distributed IT system are examined from a Macro Level. An ongoing discussion is conducted on how the emergent profession of enterprise architecture fits into the duties and responsibilities of today’s IT manager. Other resources and references relating to the field of enterprise architecture are introduced.",4
Business Intelligence,IT415,This course introduces the methodologies used when exploring and analyzing vast volumes of data. Students are exposed to various techniques that have been developed over time to support the exploration of large data mines and the data mining process. Methods of classifying and visualizing information are emphasized.,4
Business Knowledge Systems,IT416,"This course explores the various analytical tools and techniques used by businesses to obtain the knowledge needed to remain competitive. Students are introduced to implementation of online analytical processing (OLAP); recency, frequency, monetary (RFM) Analysis, dashboard systems, and the balanced scorecard.",4
"Data Extraction, Transformation, and Loading",IT417,"This course explores the processes of data extraction, transformation and loading (ETL) using a four-layered approach for ETL architecture design. Students will be introduced to the functional layer; operational management layer; audit, balance and control layer; and the utility layer as each applies to achieving analysis goals and objectives.",4
Decision Support Systems and Data Warehousing,IT418,"In this course, students investigate the process of planning, designing, building, populating, and maintaining a successful Data Warehouse (DW). Students focus on the implementation of a data warehouse as an essential decision-support tool needed for business.  Students examine various forms of graphical modeling methods, including business modeling, entity relationship diagramming, dimensional modeling, physical modeling, and Warehouse metadata management.",4
Systems Acquisition and Sourcing,IT424,"Systems Acquisition and Sourcing explores the business and technical decision making process for ""buy versus build,"" in-sourcing versus outsourcing, evaluation and benchmarking and testing. In addition topics such as contracts and Request for Proposals (RFP) are explored and analyzed.",4
"Systems Analysis, Design and Integration",IT425,"Systems Analysis and Design provides instruction on the System Development Life Cycle (SDLC) phases. This course looks at the SDLC as a structured approach for developing requirements, performing analysis, producing the design, coding or installation of the solution, testing the application and installing the final product. The system as defined in this course could include a network, telecommunications, new software development or other information systems. It also explores the business and technical decision making process for ""buy versus build,"" in-sourcing versus outsourcing, evaluation and benchmarking and testing.",4
Security Management,IT454,"This course focuses on various practices that need to be established within an organization for an effective and efficient management of security. Topics such as security policies, design and implementation, risk assessment and management, and security procedures will be covered.",4
