"course_code","course_title","department","credits","description"
"AGRI 182","Agricultural Youth Conferences","Agriculture (AGRI)","1 Unit",""
"AGRI 198","Special Topics","Agriculture (AGRI)","1-3 Units",""
"AGRI 280","Agriculture Ambassadors","Agriculture (AGRI)","1 Unit",""
"AGRI 298","Special Topics","Agriculture (AGRI)","1-3 Units",""
"AGRI 299","Special Problems","Agriculture (AGRI)","1-3 Units",""
"AGRI 301","California Agriculture Seminar","Agriculture (AGRI)","3 Units",""
"AGRI 305","Agricultural Genetics","Agriculture (AGRI)","3 Units",""
"AGRI 310","Innovations in Agriculture","Agriculture (AGRI)","3 Units",""
"AGRI 331","Agricultural Ecology","Agriculture (AGRI)","3 Units",""
"AGRI 380A","Agricultural Leadership","Agriculture (AGRI)","3 Units",""
"AGRI 380B","Leadership in the Workplace","Agriculture (AGRI)","3 Units",""
"AGRI 389","Internship in Agriculture","Agriculture (AGRI)","1-12 Units",""
"AGRI 398","Special Topics","Agriculture (AGRI)","1-3 Units",""
"AGRI 399","Special Problems","Agriculture (AGRI)","1-3 Units",""
"AGRI 482W","Agricultural Issues (W)","Agriculture (AGRI)","3 Units  W, GW",""
"AGRI 489","Internship in Agriculture","Agriculture (AGRI)","1-3 Units",""
"AGRI 490W","Agricultural Experimental Research (W)","Agriculture (AGRI)","4 Units  W",""
"AGRI 498","Special Topics","Agriculture (AGRI)","1-3 Units",""
"AGRI 499","Special Problems","Agriculture (AGRI)","1-3 Units",""
"AGRI 499H","Honors Research in Agriculture","Agriculture (AGRI)","6 Units",""
"AGRI 695","Graduate Seminar in Regenerative Agriculture","Agriculture (AGRI)","1 Unit",""
"AGRI 697","Independent Study","Agriculture (AGRI)","1-4 Units",""
"AGRI 698","Special Topics","Agriculture (AGRI)","1-3 Units",""
"AIST 170","Introduction to American Indian/US Native American Studies","American Indian Studies (AIST)","3 Units  GE",""
"AIST 203","Visual Sovereignty: American Indian Film","American Indian Studies (AIST)","3 Units  USD",""
"AIST 230","American Indian Histories Past and Present","American Indian Studies (AIST)","3 Units  GE, USD",""
"AIST 252","American Indian Literature","American Indian Studies (AIST)","3 Units  GE, USD",""
"AIST 261","Peoples and Cultures of Native North America","American Indian Studies (AIST)","3 Units  GE, USD",""
"AIST 362W","California Indians (W)","American Indian Studies (AIST)","3 Units  GE, USD, W",""
"AIST 365","American Indian Storytelling/Oral Narrative","American Indian Studies (AIST)","3 Units  GE",""
"AIST 398","Special Topics","American Indian Studies (AIST)","1-3 Units",""
"AIST 410","Contemporary North American Indian Issues and Identities","American Indian Studies (AIST)","3 Units  USD",""
"AIST 425","American Indian Sovereignty and U.S. Federal Law","American Indian Studies (AIST)","3 Units  USD",""
"ANSC 100","Introduction to Food Animal Systems","Animal Science (ANSC)","3 Units",""
"ANSC 101","Introduction to Animal Science","Animal Science (ANSC)","3 Units",""
"ANSC 110","Directed Work Experience in Animal Sciences","Animal Science (ANSC)","2 Units",""
"ANSC 120","Livestock Skills","Animal Science (ANSC)","3 Units",""
"ANSC 160","Veterinary Practices","Animal Science (ANSC)","2 Units",""
"ANSC 198","Special Topics","Animal Science (ANSC)","1-3 Units",""
"ANSC 199","Special Problems","Animal Science (ANSC)","1-3 Units",""
"ANSC 220","Introduction to Livestock Evaluation","Animal Science (ANSC)","3 Units",""
"ANSC 230","Animal Feeds and Nutrition","Animal Science (ANSC)","3 Units",""
"ANSC 250","Live Animal and Carcass Evaluation","Animal Science (ANSC)","3 Units",""
"ANSC 271","Principles of Beef Cattle Production","Animal Science (ANSC)","3 Units",""
"ANSC 274","Principles of Dairy Production","Animal Science (ANSC)","3 Units",""
"ANSC 276","Principles of Meat Science","Animal Science (ANSC)","3 Units",""
"ANSC 294","Principles of Rangeland Livestock Management","Animal Science (ANSC)","3 Units",""
"ANSC 298","Special Topics","Animal Science (ANSC)","1-3 Units",""
"ANSC 299","Special Problems","Animal Science (ANSC)","1-3 Units",""
"ANSC 301","Intermediate Animal Systems","Animal Science (ANSC)","3 Units",""
"ANSC 320","Advanced Livestock Selection and Carcass Evaluation","Animal Science (ANSC)","3 Units",""
"ANSC 330","Animal Nutrition","Animal Science (ANSC)","3 Units",""
"ANSC 330L","Applied Animal Nutrition Research","Animal Science (ANSC)","1 Unit",""
"ANSC 340","Reproductive Physiology of Domestic Animals","Animal Science (ANSC)","3 Units",""
"ANSC 350","Meat and the Consumer","Animal Science (ANSC)","3 Units",""
"ANSC 360","Animal Health and Disease","Animal Science (ANSC)","3 Units",""
"ANSC 370","Livestock and Companion Animal Behavior","Animal Science (ANSC)","3 Units",""
"ANSC 372","Sheep Production","Animal Science (ANSC)","3 Units",""
"ANSC 373","Swine Production","Animal Science (ANSC)","3 Units",""
"ANSC 374","Organic Dairy Production and Management","Animal Science (ANSC)","3 Units",""
"ANSC 378","Poultry Meat and Eggs: Industry, Processing, and Products","Animal Science (ANSC)","3 Units",""
"ANSC 389","Internship in Animal Science","Animal Science (ANSC)","1-3 Units",""
"ANSC 394","Livestock Grazing Ecology and Management","Animal Science (ANSC)","3 Units",""
"ANSC 398","Special Topics","Animal Science (ANSC)","1-3 Units",""
"ANSC 399","Special Problems","Animal Science (ANSC)","1-3 Units",""
"ANSC 440","Physiology of Domestic Animals","Animal Science (ANSC)","3 Units",""
