"course_code","course_title","department","credits","description"
"ART 500","CERAMIC RAW MATERIALS","Art  (ART)","3",""
"ART 507","MATERIALS: CONCEPT AND PROCESS","Art  (ART)","3",""
"ART 508","CERAMICS: SCULPTURE","Art  (ART)","3",""
"ART 513","ELECTROFORMING AND ENAMELING","Art  (ART)","3",""
"ART 514","ADVANCED STUDIO","Art  (ART)","2-3",""
"ART 515","ADVANCED STUDIO","Art  (ART)","2-3",""
"ART 516","ADVANCED STUDIO","Art  (ART)","2-3",""
"ART 534","PHOTO IMAGING - CONCEPTS I","Art  (ART)","3",""
"ART 536","PHOTO IMAGING - PORTFOLIO","Art  (ART)","3",""
"ART 543","INTERACTIVE MEDIA: THEORY AND APPLICATION","Art  (ART)","3",""
"ART 547","SCREEN PROCESS II","Art  (ART)","3",""
"ART 549","RELIEF PROCESS II","Art  (ART)","3",""
"ART 553","LITHOGRAPY PROCESS II","Art  (ART)","3",""
"ART 555","NEW DIRECTIONS IN PRINTMAKING","Art  (ART)","3",""
"ART 556","ARTIST BOOKS","Art  (ART)","3",""
"ART 557","GRAPHIC DESIGN III","Art  (ART)","3",""
"ART 561","DIGITAL OBJECT DESIGN II","Art  (ART)","3",""
"ART 573","ILLUSTRATION II","Art  (ART)","3",""
"ART 578","NEW DIRECTIONS IN PAINTING, EXPERIMENTAL MEDIA AND ART I","Art  (ART)","3",""
"ART 602","ELEMENTS OF VISUAL DESIGN","Art  (ART)","3",""
"ART 608","GRADUATE CERAMICS I","Art  (ART)","3",""
"ART 610","FOUNDATIONS OF USER EXPERIENCE (UX) DESIGN","Art  (ART)","3",""
"ART 611","GRADUATE DRAWING I","Art  (ART)","3",""
"ART 614","GRADUATE STUDIO","Art  (ART)","2-3",""
"ART 615","GRADUATE STUDIO","Art  (ART)","2-3",""
"ART 616","GRADUATE STUDIO","Art  (ART)","2-3",""
"ART 620","USER EXPERIENCE (UX) TYPOGRAPHY","Art  (ART)","3",""
"ART 622","GRADUATE EXHIBITION DESIGN","Art  (ART)","3",""
"ART 629","GRADUATE PAINTING I","Art  (ART)","3",""
"ART 630","WATERCOLOR","Art  (ART)","3",""
"ART 635","GRADUATE EXPERIMENTAL DIRECTIONS","Art  (ART)","3",""
"ART 640","GRADUATE SCULPTURE I","Art  (ART)","3",""
"ART 641","USER EXPERIENCE (UX) DESIGN, THEORY AND METHODS","Art  (ART)","3",""
"ART 650","GRADUATE INTAGLIO, RELIEF I","Art  (ART)","3",""
"ART 653","GRAPHICS: LITHOGRAPHY, SERIGRAPHY","Art  (ART)","3",""
"ART 671","GRADUATE PROGRAMMING FOR DESIGN","Art  (ART)","3",""
"ART 673","GRADUATE ILLUSTRATION I","Art  (ART)","3",""
"ART 678","NEW DIRECTIONS IN PAINTING, EXPERIMENTAL MEDIA AND ART II","Art  (ART)","3",""
"ART 685","GRADUATE INFORMATION + INTERFACE DESIGN II","Art  (ART)","3",""
"ART 694","GRADUATE TRAVEL STUDY","Art  (ART)","3-6",""
"ART 711","GRADUATE DRAWING II","Art  (ART)","3",""
"ART 715","MFA STUDIO I","Art  (ART)","3",""
"ART 729","GRADUATE PAINTING II","Art  (ART)","3",""
"ART 750","GRADUATE INTAGLIO, RELIEF II","Art  (ART)","3",""
"ART 761","DIGITAL OBJECT DESIGN II","Art  (ART)","3",""
"ART 765","USER INTERFACE (UI) DESIGN","Art  (ART)","3",""
"ART 766","ADVANCED PROJECTS IN WWW DESIGN","Art  (ART)","3",""
"ART 781","GRADUATE ILLUSTRATION II","Art  (ART)","3",""
"ART 782","ART TOPICS","Art  (ART)","3",""
"ART 783","MFA SEMINAR","Art  (ART)","3",""
"ART 784","SEMINAR ON COLLEGE-LEVEL TEACHING","Art  (ART)","3",""
"ART 785","MFA STUDIO II","Art  (ART)","3",""
"ART 795","DIRECTED READINGS IN ART","Art  (ART)","3",""
"ART 880","MFA PROJECT","Art  (ART)","9",""
"ART 885","PROJECT CONTINUUM","Art  (ART)","1",""
"ARED 500","SPECIAL TOPICS: ARED EDUCATION","Art Education (ARED)","3",""
"ARED 563","AUTHOR-ILLUSTRATOR:VISUAL AND LANGUAGE ARTS","Art Education (ARED)","3",""
"ARED 581","STUDIO PRACTICES AND CURRICULAR PLANNING: ELEMENTARY","Art Education (ARED)","3",""
"ARED 583","ARTS INTEGRATED LEARNING IN BALTIMORE'S SCHOOLS AND COMMUNITIES: SECONDARY","Art Education (ARED)","3",""
"ARED 606","COMMUNITY-BASED ARTS TEACHING","Art Education (ARED)","3",""
"ARED 607","ARTIST-TEACHER CONNECTION","Art Education (ARED)","3",""
"ARED 608","INTERDISCIPLINARY ART EDUCATION","Art Education (ARED)","3",""
