"subject","course_code","course_name","description","credits"
"Accounting","ACC 341","Accounting and Management Information Systems","Accounting system examined as a crucial base for the desired comprehensive management information system of an organization. Impact of the computer on accounting systems controls and the auditing of EDP based accounting systems. May be taught concurrently with ACC 640. Cannot receive credit for both ACC 341 and ACC 640. Cannot be taken Pass/Not Pass. Prerequisite: C grade or better in ; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"Accounting","ACC 394","Cooperative Education in Accounting","The opportunity to earn academic credit in a planned learning process that integrates academic training with a supervised work experience. Variable content course. May be repeated to a maximum of six hours. Prerequisite: permission of the School of Accountancy Director; and undergraduate business majors must be admitted to degree program. Typically offered: Demand","3"
"Accounting","ACC 397","Topics in Accounting","Topics are identified by title in the schedule of classes. Examples are: inflation accounting, management advisory services, public utility accounting, financial reporting to regulatory agencies. Variable content course. May be repeated to a maximum of six hours. Prerequisite: undergraduate business majors must be admitted to degree program. Typically offered: Demand","1-3"
"Accounting","ACC 421","Volunteer Income Tax Assistance VITA","Field work in the preparation of individual income tax return (state and federal) covering topics of gross income, deductions and credits. Prerequisite: C grade or better in ; and undergraduate business majors must be admitted to degree program. Lab contact hours: 2 Typically offered: Spring","1"
"Accounting","ACC 422","Advanced Volunteer Income Tax Assistance VITA","Experience in the planning and scheduling of the VITA program and provides final review of actual income tax returns prepared under field conditions. Prerequisite: undergraduate business majors must be admitted to degree program. Lab contact hours: 2 Typically offered: Spring","1"
"Accounting","ACC 494","Internship in Accounting","Internship experience in an organization emphasizing public, managerial or not-for-profit accounting. Prerequisite: permission of the School of Accountancy Director; and undergraduate business majors must be admitted to degree program. Typically offered: Demand","3"
"Accounting","ACC 496","Readings in Business Administration-Accounting","Planned readings designed to intensify and supplement the area of accounting. Prerequisite: permission of the School of Accountancy Director; and undergraduate business majors must be admitted to degree program. Typically offered: Demand","1-2"
"Accounting","ACC 504","Advanced Accounting","Study of accounting for pensions, deferred taxes, business combinations, partnerships, and certain multicurrency accounting issues. Research assignments are required. May be taught concurrently with ACC 604. Cannot receive credit for both ACC 504 and ACC 604. Prerequisite: C grade or better in ; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"Accounting","ACC 506","International Accounting","Accounting practices in different nations; multi-national corporation and selected accounting problems. May be taught concurrently with ACC 606. Cannot receive credit for both ACC 506 and ACC 606. Research assignments are required. Prerequisite: C grade or better in ; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"Accounting","ACC 513","Managerial Cost Accounting II","A continuation of the topics examined in . Specific topics covered include activity-based costing, strategic cost management, activity- and strategic-based responsibility accounting, quality costing, measurement and control of productivity, environmental cost management, cost-volume-profit analysis, activity resource usage, relevant costing, pricing and profitability analysis, capital investment decisions, and inventory management topics such as economic order quantity, just-in-time, and the theory of constraints. May be taught concurrently with ACC 613. Cannot receive credit for both ACC 513 and ACC 613. Prerequisite: C grade or better in ; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Spring","3"
"Accounting","ACC 524","Tax Accounting II","Principles of federal tax accounting; research in income tax problems of partnerships and corporations; estate and gift tax problems of individuals. May be taught concurrently with ACC 624. Cannot receive credit for both ACC 524 and ACC 624. Research assignments are required. Prerequisite: C grade or better in within the last five years, or C grade or better in with evidence of relevant and substantial work experience involving U.S. income tax rules within the last five years; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"Accounting","ACC 525","Individual Income Tax Assistance","To provide students with an opportunity to integrate intermediate tax accounting skills, critical thinking skills, communication skills, and research skills with community service. This course provides service-learning experience in the preparation and review of actual individual income tax returns (both federal and state) as well as the social and ethical issues inherent in U.S. tax policy. May be taught concurrently with ACC 625. Cannot receive credit for both ACC 525 and ACC 625. Prerequisite: C grade or better in ; and permission of instructor; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 1 Lab contact hours: 4 Typically offered: Spring","3"
"Accounting","ACC 542","Data Analytics in Accounting","This course introduces students to data analytics tools and techniques in accounting. Topics include: statistical techniques, data analysis, and visualization. This course uses Microsoft Excel, Tableau, and other data analysis software to implement and apply applications of these concepts and techniques. May be taught concurrently with ACC 642. Cannot receive credit for both ACC 542 and ACC 642. Prerequisite: C grade or better in ; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"Accounting","ACC 553","Auditing","Kinds of audits, the duties and obligations of the auditor, principles and procedures to be followed in conducting an audit. This course has a required assessment component. Research assignments are required. Cannot be taken Pass/Not Pass. May be taught concurrently with ACC 653. Cannot receive credit for both ACC 553 and ACC 653. Prerequisite: C grade or better in and and and ; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Fall, Spring","3"
"Accounting","ACC 555","Internal Auditing","Functions of internal audit, financial audit, and operations audit; importance of the changing professional status of the internal auditor. May be taught concurrently with ACC 655. Cannot receive credit for both ACC 555 and ACC 655. Prerequisite: C grade or better in ; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Demand","3"
"Accounting","ACC 556","Operational Auditing","Primarily a case study approach covering nonfinancial audits of efficient and effective resource utilization, accomplishment of operational goals, adherence to laws and regulations, fraud prevention and detection, integrity and security of computer systems, and achievement of program goals. May be taught concurrently with ACC 656. Cannot receive credit for both ACC 556 and ACC 656. Prerequisite: 60 hours; and undergraduate business majors must be admitted to degree program. Lecture contact hours: 3 Typically offered: Demand","3"
"Accounting","ACC 596","Research Issues and Problems: Accounting","Research issues and projects growing from particular needs which may require additional depth or breadth of study. Outline of study must be approved prior to enrolling. May be repeated to a maximum of three hours. May be taught concurrently with ACC 695. Cannot receive credit for both ACC 596 and ACC 695. Prerequisite: permission of the School of Accountancy Director; and undergraduate business majors must be admitted to degree program. Typically offered: Demand","3"
"Agricultural Business","AGB 144","Agricultural Economics I","CORE 42: MOTR number ECON 102A - Introduction to Microeconomics (Agricultural Economics). Characteristics of our economic system and basic economic concepts with applications to agriculture. Effects on agriculture by money and banking systems, monetary and fiscal policies, government policies, and international trade. Lecture contact hours: 3 Lab contact hours: 2 Typically offered: Fall, Spring","4"
"Agricultural Business","AGB 314","Legal Aspects of Agriculture","Legal framework impinging upon decision making of farm business including farm ownership and transfer, taxation, business organization, losses, and regulations of land and water use. May be taught concurrently with AGB 644. Cannot receive credit for both AGB 314 and AGB 644. Recommended Prerequisite: 30 hours. Lecture contact hours: 3 Typically offered: Fall","3"
"Agricultural Business","AGB 334","Marketing Agricultural Products","Marketing functions and agencies involved in the movement of farm products from producers to consumers. Explains how the economic behaviors of the farmers, marketing agents and consumers affect the organization and performance of the food markets. Recommended Prerequisite: or . Lecture contact hours: 2 Lab contact hours: 2 Typically offered: Fall, Spring, Summer","3"
"Agricultural Business","AGB 344","Financing Agriculture","Capital requirements and sources and uses of each type of credit. Recommended Prerequisite: . Lecture contact hours: 2 Lab contact hours: 2 Typically offered: Fall","3"
"Agricultural Business","AGB 354","Land Economics","Principles and institutions affecting the allocation of land resources among uses and users. Recommended Prerequisite: . Lecture contact hours: 2 Typically offered: Summer","2"
"Agricultural Business","AGB 364","Introduction to Agricultural Risk Management: Commodity Futures and Options","Introduction to the economic theory, organization, and operating principles of agricultural commodity futures markets. The course will give students the opportunity to explore, through theory and practice, the relationship between cash, futures, basis, exchange and local contracts, and other course concepts. Emphasis is placed on speculating, hedging, and investing in agricultural markets. Recommended Prerequisite: . Lecture contact hours: 2 Lab contact hours: 2 Typically offered: Fall","3"
"Agricultural Business","AGB 374","Agricultural Business Management","A study of agricultural firm management including planning, organizing, directing, controlling and coordinating functions used to attain business goals. The role of finance and type of business organization including agricultural cooperatives. Recommended Prerequisite: . Lecture contact hours: 2 Lab contact hours: 2 Typically offered: Fall","3"
"Agricultural Business","AGB 384","Agricultural Selling","Principles of selling with application to agricultural inputs and products. Attitudes, value systems, and behavioral patterns that relate to agricultural sales. Relationship of sales to marketing, selling strategies, preparing for sales calls, making sales presentations, handling objections, and closing sales. Analysis of the buying or purchasing process. Evaluation of agri-selling as a possible career choice. Recommended Prerequisite: . Lecture contact hours: 2 Typically offered: Fall, Spring","2"
"Agricultural Business","AGB 394","Agricultural Industry Study","A five-day study alternating between St. Louis and Kansas City to examine the management process of a variety of agricultural businesses. May be repeated to a maximum of two hours. Prerequisite: concurrent enrollment in for 1 credit hour; completion of 60 hours including 6 hours in agricultural business; and permission of instructor. Lab contact hours: 2 Typically offered: Spring, Summer","1"
"Agricultural Business","AGB 399","Special Topics in Agribusiness, Education and Communications","Special study in an identified area of agricultural business, education or communications not treated in other courses. Variable content course. May be repeated to a maximum of 12 hours provided the same topic is not duplicated. Typically offered: Demand","1-3"
"Agricultural Business","AGB 444","American Agricultural Policy","Description and analysis of economic problems of US Agriculture. History and significance of government programs to support farm prices and incomes, conserve land resources, encourage adequate food supplies and expand U.S. agricultural trade. Recommended Prerequisite: . Lecture contact hours: 3 Typically offered: Fall","3"
"Agricultural Business","AGB 494","Problems in Agricultural Business","Student selects a specific topic, prepares an outline, makes an investigation and presentation under the supervision of an agricultural business staff member. Prerequisite: permission of instructor. Typically offered: Fall, Spring","1-3"
"Agricultural Business","AGB 499","Internship in Agribusiness, Agricultural Education and Communication","Course in supervised agricultural work experience. A program to integrate class experience with actual practice and to provide students with hands-on experience in agricultural businesses or agricultural communications agencies. Variable content course. May be repeated to a maximum of eight hours. Typically offered: Fall, Spring, Summer","1-8"
"Agricultural Business","AGB 514","International Agricultural Trade","Gains from trade, agricultural trade policies of exporters and importers, exchange rates, multilateral trade negotiations, preferential trade agreements, technical barriers and environmental regulations and trade. May be taught concurrently with AGB 614. Cannot receive credit for both AGB 514 and AGB 614. Prerequisite: or . Lecture contact hours: 2 Lab contact hours: 2 Typically offered: Spring","3"
"Agricultural Business","AGB 524","Agricultural Prices","Factors influencing the level and movement of agricultural commodity prices and prices of agricultural inputs. May be taught concurrently with AGB 624. Cannot receive credit for both AGB 524 and AGB 624. Prerequisite: . Lecture contact hours: 2 Lab contact hours: 2 Typically offered: Fall","3"
"Agricultural Business","AGB 534","Production Economics","Application of economics of production in agricultural and business management, examination of the relationships between inputs and outputs, and impact of technology selection on business profitability. May be taught concurrently with AGB 634. Cannot receive credit for both AGB 534 and AGB 634. Prerequisite: . Lecture contact hours: 3 Typically offered: Spring","3"
"Agricultural Business","AGB 554","Agricultural Industry Study","A five-day study of Missouri agricultural businesses to examine the management process of a variety of management structures. May be repeated for up to four hours if traveling to a different location. May be taught concurrently with AGB 654. Cannot receive credit for both AGB 554 and AGB 654. Prerequisite: 60 hours including 6 hours of AGB courses; and permission of instructor. Typically offered: Spring, Summer","2"
