"code","title","credits","description"
"CLSC 3252.","Body Fluids.","",""
"CLSC 3257.","Hematology I Lab.","",""
"CLSC 3260.","Serology.","",""
"CLSC 3262.","Clinical Chemistry II.","",""
"CLSC 3268.","Infectious Diseases Lab.","",""
"CLSC 3269.","Immunohematology Lab.","",""
"CLSC 3351.","Concepts in Immunodiagnostics.","",""
"CLSC 3354.","Clinical Chemistry I.","",""
"CLSC 3356.","Hematology I.","",""
"CLSC 3357.","Opportunist & Parasitic Infect.","",""
"CLSC 3364.","Hematology II.","",""
"CLSC 3365.","Clinical Chemistry II.","",""
"CLSC 3366.","Infectious Diseases.","",""
"CLSC 3368.","Immunohematology.","",""
"CLSC 4100.","Ethics.","",""
"CLSC 4111.","Molecular Diagnosis Laboratory.","",""
"CLSC 4180.","Seminar.","",""
"CLSC 4190.","Special Problems.","",""
"CLSC 4210.","Molecular Diagnostics.","",""
"CLSC 4273.","Clinical Education.","",""
"CLSC 4274.","Clinical Investigation.","",""
"CLSC 4275.","Clinical Lab Mgmt/Supervision.","",""
"CLSC 4290.","Special Problems.","",""
"CLSC 4390.","Special Problems.","",""
"CLSC 4471.","Preceptorship I.","",""
"CLSC 4472.","Preceptorship II.","",""
"CLSC 4476.","Preceptorship III.","",""
"CLSC 4478.","Preceptorship IV.","",""
"HSCI 1301.","Fnd. of Hlth Sci. & Hlth Promo.","",""
"HSCI 2302.","Fundamentals of Nutrition.","",""
"HSCI 2303.","Wellness Dynamics.","",""
"HSCI 2309.","First Aid & Safety Practices.","",""
"HSCI 3301.","Community Health.","",""
"HSCI 3302.","Computer Syst for Hlth Profess.","",""
"HSCI 3304.","Health Perspectives in Aging.","",""
"HSCI 3305.","Substance Use & Society.","",""
"HSCI 3306.","Environmental Health.","",""
"HSCI 3307.","Death, Dying and Bereavement.","",""
"HSCI 3308.","Disease Charc/Prevnt/Contrl.","",""
"HSCI 3311.","Introduction to Epidemiology.","",""
"HSCI 3312.","Theories & Meth of Hlth Behav.","",""
"HSCI 3313.","Foundations of Global Health.","",""
"HSCI 3315.","Research For The Health Prof.","",""
"HSCI 3316.","Community Nutrition.","",""
"HSCI 3317.","Occupational Health & Safety.","",""
"HSCI 3320.","Selected Topics in HSCI.","",""
"HSCI 3322.","Sports Nutrition.","",""
"HSCI 3323.","Nutrition Thru the Life Cycle.","",""
"HSCI 3324.","Applied Culinary Nutrition.","",""
"HSCI 3395.","Seminar in Global Health.","",""
"HSCI 4101.","Health Ed Elem Schl Teach Lab.","",""
"HSCI 4201.","Hlth Ed for Elem Sch Teachers.","",""
"HSCI 4303.","Family Life & Human Sexuality.","",""
"HSCI 4304.","Public Health Administration.","",""
"HSCI 4306.","Health Cnrns of Preadol & Adol.","",""
"HSCI 4307.","Hlth Promo Plan & Implement.","",""
"HSCI 4308.","Independent Study in Health.","",""
"HSCI 4309.","Program Eval in Health Science.","",""
"HSCI 4311.","Community Health Education.","",""
"HSCI 4312.","Grant Writing in Hlth Profess.","",""
"HSCI 4313.","Practicum I.","",""
"HSCI 4314.","Practicum II.","",""
"HSCI 4322.","Nutritional Assessment.","",""
"HSCI 4600.","Practicum in Community Health.","",""
"AFST 2300.","Intro-African Amer Studies.","",""
"AFST 2301.","Theories-African  Amer Studies.","",""
"AFST 3300.","African Ame Lead of the 20 Cen.","",""
"AFST 3301.","The Modern Civil Rights Mov.","",""
"AFST 3302.","Afr Ame Wom&the Black Free Mov.","",""
"AFST 3303.","Theories in African Amer. Stud.","",""
"AFST 3347.","Jazz & Other Stage Danc Form I.","",""
"AFST 3348.","American Dance Forms - Jazz.","",""
"AFST 3349.","Hip Hop Dance I.","",""
"AFST 3351.","Afro-Mexico.","",""
"AFST 3352.","African Diasporas-Latin Amer.","",""
"AFST 3354.","Black Women of the Americas.","",""
"AFST 3366.","African Art.","",""
"AFST 3390.","Topics in African/Amer Studies.","",""
"AFST 4304.","Envir. Just. & Min. Comm. U.S..","",""
"AFST 4348.","Jazz Dance 2.","",""
"AFST 4349.","Hip Hop Dance 2.","",""
"AFST 4390.","Spc Top-African American Stud.","",""
"ASIA 2300.","Asian American Studies.","",""
"ASIA 3300.","Intro to Asian Studies.","",""
"ASIA 3314.","Buddhism.","",""
"ASIA 3316.","Confucianism and Daoism.","",""
"ASIA 3326.","Politics of East Asia.","",""
"ASIA 3334.","History of Premodern East Asia.","",""
"ASIA 3335.","History of Modern East Asia.","",""
"ASIA 3338.","History of Modern China.","",""
"ASIA 3339.","Pyramids & Prophets.","",""
"ASIA 3340.","Asian Philosophies.","",""
"ASIA 3350.","Special Topics-Asian Studies.","",""
"ASIA 3353.","Asian Diasporas-Latin America.","",""
"ASIA 4328.","Politics of China.","",""
"CHIC 1311.","Chicana/o Fine Arts Appreciat.","",""
"CHIC 2302.","Latina/o Presence in the U.S..","",""
"CHIC 2311.","Intro to Chicano Studies.","",""
"CHIC 3301.","La Chicana.","",""
"CHIC 3302.","Chicano Cinema.","",""
"CHIC 3303.","Border Image in Mexican Film.","",""
"CHIC 3304.","Chicano/Latino Music in the US.","",""
"CHIC 3305.","Chic Ident Form:Race,Class&Gen.","",""
"CHIC 3311.","Chicano Studies: Societal Issu.","",""
"CHIC 3335.","Regional Mexican Music.","",""
"CHIC 3339.","Cultural Diversity & Youth: US.","",""
"CHIC 3343.","Latino/a Voices in Perf Activi.","",""
"CHIC 3344.","Chicana/o Theatre.","",""
"CHIC 3345.","The Roots of Latina/o Hip Hop.","",""
"CHIC 3346.","Dances of Mexico and Spain.","",""
"CHIC 3347.","AmerCinema of the US-Mex Bord.","",""
"CHIC 4301.","Chicano Legal History.","",""
"CHIC 4304.","Envir. Just. & Min. Comm U.S..","",""
"CHIC 4306.","Comm Formation on US/MX Border.","",""
"CHIC 4307.","Hispanic Entrepreneurship.","",""
"CHIC 4308.","Chicana/o Thought.","",""
"CHIC 4309.","American Immigration & Soc Jus.","",""
"CHIC 4350.","Topics in Chicano Studies.","",""
"CHIC 4450.","Topics in Chicano Studies.","",""
"HUMN 3301.","Ancient Cultures.","",""
"HUMN 3302.","Faith and Reason.","",""
"HUMN 3303.","Modern Culture & Thought.","",""
"HUMN 3305.","Iliad Odyssey and the Bible.","",""
"HUMN 3306.","Paths of the Prophet.","",""
"HUMN 3308.","Medieval Women.","",""
"HUMN 3311.","Jewish Women of the Holocaust.","",""
"HUMN 3312.","American Cultural Studies.","",""
"HUMN 3313.","Protest in Art and Literature.","",""
"HUMN 3314.","Theories of Social Change.","",""
"HUMN 3315.","Media and Social Justice.","",""
"HUMN 4390.","Special Topics in Humanities.","",""
"JS 3300.","Special Topics/Jewish Studies.","",""
"JS 3311.","Jewish Women of the Holocaust.","",""
"JS 3320.","Introduction to Judaism.","",""
"JS 3322.","History of Antisemitism.","",""
"LABS 3300.","The Americas.","",""
"LABS 3301.","The Border.","",""
"LABS 4301.","Topics Lat Amer/Border Stud.","",""
"LABS 4307.","Internship in LABS.","",""
"LABS 4308.","Independent Study in LABS.","",""
"LHON 4000.","Liberal Arts HON Prgrm Seminar.","",""
"MLS 4350.","Special Topics: TBD.","",""
"RS 1301.","Introduct to Religious Studies.","",""
"RS 3310.","Major World Religions.","",""
"RS 3314.","Buddhism.","",""
"RS 3316.","Confucianism and Daoism.","",""
"RS 3320.","Introduction to Judaism.","",""
"RS 3321.","Intro to the Hebrew Bible.","",""
"RS 3322.","History of Antisemitism.","",""
"RS 3330.","History of Christianity.","",""
"RS 3331.","Intro to the New Testament.","",""
"RS 3340.","Introduction to Islam.","",""
"RS 3350.","Spec Topics-Religious Studies.","",""
"RS 3351.","Gender and Religion.","",""
"RS 3353.","Religion and Film.","",""
"RS 3355.","Hispanic Religious Expressions.","",""
"RS 3360.","Independent Study.","",""
"WS 2300.","Introduction to Womens Studies.","",""
"WS 2315.","Sociology of Marriage & Family.","",""
"WS 2350.","Global Feminisms.","",""
"WS 2360.","Gender, Sexuality, & Identity.","",""
"WS 3301.","La Chicana.","",""
"WS 3305.","Chicana/o ID Formation.","",""
"WS 3310.","Directed Study.","",""
"WS 3320.","Internship in Women's Studies.","",""
"WS 3321.","Family Violence.","",""
"WS 3322.","Sex, Culture, and Evolution.","",""
"WS 3330.","Women in Fine Art.","",""
"WS 3331.","Gender & Popular Culture.","",""
"WS 3333.","Gndr, Ethncty in Contemp Art.","",""
"WS 3335.","Feminist Film.","",""
"WS 3336.","Queer Cinema.","",""
"WS 3340.","Gender & Technology.","",""
"WS 3351.","Gender & Religion.","",""
"WS 3360.","Women in Literature.","",""
"WS 3370.","Gender Roles & Society.","",""
"WS 3372.","Women & Work in the Sex Indust.","",""
"WS 3373.","Plagues, Pandemics, & Power.","",""
"WS 3374.","Mental Illness at the Margins.","",""
"WS 3375.","Women's Health.","",""
"WS 3380.","Social Justice Values at Work.","",""
"WS 3382.","Gender Issues in the Arts.","",""
"WS 3383.","Gender Issues in Humanities.","",""
"WS 3384.","Gender Issues in Social Scincs.","",""
"WS 3390.","Women's Studies:Special Topics.","",""
