Course Code,Course Name,Credits,Level
SPED 78451,Adv Ld: Clin Tch #2 (KC),2,Graduate
SPED 78351,Adv Ld: Math Methods,3,Graduate
SPED 70751,Adv Ld: Research Sem,3,Graduate
EDUC 72400,Adv Math,2,Graduate
NURS 78800,Adv Palliative Care Practice 2,3.5,Graduate
NURS 71500,Adv Phar:Inf/Ch/Adol,3,Graduate
NURS 69985,Adv Pharmacology,3,Graduate
PSYCH 78500,Adv Physiolog Psy,3,Graduate
NURS 73300,Adv Pr Nsg Mat-Child,5,Graduate
NURS 72800,Adv Prac Cb Fam&Chdn,3,Graduate
EDUC 73500,Adv Prac Corr Rdg D1,3,Graduate
NURS 73200,Adv Prac Mat/Child,5,Graduate
NURS 76000,Adv Prac:Pri Care Ad,5,Graduate
NURS 72500,Adv Pract:Chldrn/Fam,5,Graduate
STAT 78000,Adv Programming Tech,3,Graduate
EDUC 73000,Adv Rdg & Lng Arts,3,Graduate
EDUC 73050,Adv Rdg Lng Arts Bil,3,Graduate
EDUC 72600,Adv Science,2,Graduate
ENGL 70289,Adv Sem Lit Theory,3,Graduate
SSW 79050,Adv Sem/Arts & Helping,3,Graduate
EDFDN 75300,Adv Soc Fdtns B-Ling,3,Graduate
EDFDN 70300,Adv Social Foundations,3,Graduate
EDUC 72500,Adv Social Studies,2,Graduate
EDUC 74500,Adv Stud Intern K-6,2,Graduate
EDUC 76000,Adv Stud Intern: Sec,2,Graduate
EDO 725,Adv Stud Tch Soc Stud,2,Graduate
IMA 79573,Adv Studio: Channels,3,Graduate
IMA 79572,Adv Studio: Channels,3,Graduate
IMA 79564,Adv Studio: Visions,3,Graduate
IMA 79563,Adv Studio: Visions,3,Graduate
IMA 79554,Adv Studio: Words,3,Graduate
IMA 79553,Adv Studio: Words,3,Graduate
IMA 79552,Adv Studio: Words,3,Graduate
IMA 79574,Adv Studio:Channels,3,Graduate
SSW 79755,Adv SW Prac & Pol Proc,2,Graduate
BIOL 79095,Adv Top:Immunology,3,Graduate
GTECH 72200,Adv Topics in GeoVisualization,3,Graduate
ADSUP 72650,Adv Wksp Cur: Sp Ed,3,Graduate
MUS 74059,Adv. Cont. Harm.Tec1,3,Graduate
NURS 72400,Adv. Pract Cb Family,3,Graduate
COMHE 77094,Advance Topic-AIDS Education,3,Graduate
PSYCH 701U0,Advanced Experimental 1,3,Graduate
THC 76028,Advanced Acting Workshop,3,Graduate
SSW 78600,Advanced Administration for Non-Majors,2,Graduate
COMSC 74100,Advanced Audiology,3,Graduate
ACC 77500,Advanced Auditing,3,Graduate
ECO 77500,Advanced Auditing,3,Graduate
BIOCH 710U1,Advanced Biochem 1,3,Graduate
BIOCH 710U2,Advanced Biochem 2,3,Graduate
ARTCR 63552,Advanced Ceramics 1,3,Graduate
ARTCR 63552,Advanced Ceramics 1,3,Graduate
ARTCR 63553,Advanced Ceramics 1,3,Graduate
ARTCR 63652,Advanced Ceramics 2,3,Graduate
ARTCR 63600,Advanced Ceramics 2,3,Graduate
ARTCR 63700,Advanced Ceramics 3,3,Graduate
ARTCR 63752,Advanced Ceramics 3,3,Graduate
ARTCR 63551,Advanced Ceramics Tutorial 1,3,Graduate
ARTCR 63651,Advanced Ceramics Tutorial 2,3,Graduate
ARTCR 63751,Advanced Ceramics Tutorial 3,3,Graduate
NURS 77800,Advanced Child/Adolescent Psychiatric Mental Health Assessment and Intervention,2,Graduate
COMSC 75401,Advanced Clinical Practicum Audiology,2,Graduate
TRNR 75200,Advanced Comparative Russian-English Grammar and Stylistics for Translators,3,Graduate
STAT 76100,Advanced Concepts in Financial Markets,3,Graduate
ECO 76100,Advanced Concepts in Financial Markets,3,Graduate
NURS 75200,Advanced Concepts in Nursing Education,3,Graduate
COUNR 71900,Advanced Counseling Skills and Contemporary Issues,3,Graduate
COUNM 71900,Advanced Counseling Skills and Contemporary Issues,3,Graduate
COUNS 71900,Advanced Counseling Skills and Contemporary Issues,3,Graduate
SEDC 71500,"Advanced Curriculum Development in U.S. History and Civics for Urban Contexts, Grades 7–12",3,Graduate
THC 79100,Advanced Directing and Rehearsal,3,Graduate
MATH 78000,Advanced Discrete Structures,3,Graduate
NURS 81100,Advanced DNP Procedures,3,Doctoral
ARTCR 64000,Advanced Drawing 1,3,Graduate
ARTCR 64100,Advanced Drawing II,3,Graduate
ARTCR 64200,Advanced Drawing III,3,Graduate
CEDC 71400,Advanced Educational Technology for Elementary School Teachers,3,Graduate
CEDC 70200,Advanced Elementary Literacy Methods,3,Graduate
PSYCH 70100,Advanced Experimental Psychology I,3,Graduate
PSYCH 702U4,Advanced Experimental Psychology II,4,Graduate
PSYCH 702U1,Advanced Experiments in Psychology I,6,Graduate
ECO 77300,Advanced Federal Income Taxation,3,Graduate
ACC 77300,Advanced Federal Income Taxation,3,Graduate
ECO 77100,Advanced Financial Accounting Theory,3,Graduate
ACC 77100,Advanced Financial Accounting Theory,3,Graduate
GTECH 73200,Advanced Geoinformatics,3,Graduate
URBP 7872A,Advanced Geospatial Data Analysis for Urban & Environmental Planning,3,Graduate
EDESL 70301,Advanced Grammar,3,Graduate
EDESL 78966,Advanced Grammar,3,Graduate
EDESL 70402,Advanced Grammar,4,Graduate
ARTCR 62500,Advanced Graphic Arts 1,3,Graduate
ARTCR 62600,Advanced Graphic Arts 2,3,Graduate
ARTCR 62700,Advanced Graphic Arts 3,3,Graduate
ARTCR 62751,Advanced Graphic Arts 3,3,Graduate
