Course Code,Course Name,Credits,Level
THEA 26200,Acting III: World Realism,3,Undergraduate
THEA 39732,Acting on Camera,3,Undergraduate
THEA 36100,Acting: Non-Realism,3,Undergraduate
THEA 36200,Acting: Period Drama,3,Undergraduate
PHILO 39451,Action & Free Will,3,Undergraduate
NURS 49952,Acute Care Nursing,3,Undergraduate
PSYCH 49558,Ad Sp Tp:Hm Subj Sys,3,Undergraduate
COMPL 35156,Adam Mickiewicz & His Works in the Context of Western European & Russian Romantic Movement,3,Undergraduate
THEA 39752,Adapt Non-Dramatic,3,Undergraduate
THEA 32400,Adaptation in Theatre and Film,3,Undergraduate
PH 32100,Addictions and Dependencies,3,Undergraduate
BIOL 47084,Addictive Drugs,2,Undergraduate
PSYCH 31300,Adolescence,3,Undergraduate
PSYCH 31300,Adolescence,3,Undergraduate
SEDF 20400,Adolescent Development,3,Undergraduate
SEDC 34100,Adolescent Fieldwork,1,Undergraduate
PH 40084,Adolescent Health,3,Undergraduate
SEDC 22000,Adolescent Health and Safety,1,Undergraduate
SEDC 22050,Adolescent Health and Safety and DASA,-,Undergraduate
NURS 47000,Adult Acute Illness/Immersion Clinical,4,Undergraduate
PSYCH 31500,Adult Development,3,Undergraduate
EDFDN 40054,Adult Education,3,Undergraduate
NURS 22000,Adult Health And Illness,4,Undergraduate
COMPL 38150,Adultery 19th Century Fiction,3,Undergraduate
COMPL 32050,Adultery in the Novel,3,Undergraduate
PSYCH 38401,Adults with Autism,3,Undergraduate
PSYCH 39038,Adults with Autism,3,Undergraduate
PSYCH 21400,Adults with Developmental Disabilities,3,Undergraduate
HEBR 35758,Adv Biblibal Grammar,3,Undergraduate
GERMN 38200,Adv Business German,3,Undergraduate
CHIN 40154,Adv Chinese-Engl Translation,3,Undergraduate
MUSTH 46153,Adv Ctpoint & Fugue,3,Undergraduate
HEBR 35754,Adv Heb Gram & Conv,3,Undergraduate
HONS 49150,Adv Interdiscip Stud,6,Undergraduate
HONS 49151,Adv Interdisciplinary Independent Study,6,Undergraduate
PHILO 39454,Adv Moral Theory,3,Undergraduate
ARTCR 36011,Adv Painting & Tech Concept,3,Undergraduate
BIOL 499LC,Adv Physiol Lec,2,Undergraduate
CSCI 49367,Adv Sftwre Eng Tp,3,Undergraduate
