"course_code","course_title","department","credits","description"
"SPSY 77926","INTRODUCTION TO DIGITAL CITIZENSHIP FOR SCHOOL PSYCHOLOGISTS","School Psychology (SPSY)","1 Credit Hour","(Slashed withSPSY 67926) This course is designed to provide students with an introductory understanding of the fundamental issues and practices of technology in school psychology. Students will gain skills related to: (a) ethical and professional use of technology; (b) evaluate features of various technology systems; (c) identify functional intervention goals to which technology can contribute; and (d) use technology to collect, analyze, summarize, and report student performance to aid instructional decision-making.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:1 lectureGrade Mode:Standard Letter"
"SPSY 77928","GROUP COUNSELING TECHNIQUES FOR REHABILITATION COUNSELORS AND SCHOOL PSYCHOLOGISTS","School Psychology (SPSY)","3 Credit Hours","Review of group counseling techniques for rehab counselors and school psychologists. Skills developed in group process and group leadership. A variety of group interventions will be examined including techniques for persons with disabilities.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SPSY 77929","INDIVIDUAL COUNSELING TECHNIQUES FOR REHABILITATION COUNSELORS AND SCHOOL PSYCHOLOGISTS","School Psychology (SPSY)","3 Credit Hours","(Slashed withSPSY 67929) Review of individual counseling techniques. Skills developed in communication interviewing problem identification goal setting and program development are fostered by lecture, video feedback and simulation.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SPSY 77932","ADVANCED INTERVENTIONS FOR ADDRESSING SEVERE BEHAVIOR","School Psychology (SPSY)","3 Credit Hours","Use and interpretation of functional behavioral assessment sin educational settings to lead to the identification of empirically-supported interventions to address the behavioral needs of children. The development, implementation and analysis of functional analysis procedures. Special emphasis given to identifying/designing, implementing and assessing the effectiveness of advanced behavioral interventions in consultation. 20 field hrs.Prerequisite:SPED 53030andSPSY 67920orSPSY 77920; and doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SPSY 77951","COGNITIVE ASSESSMENT OF CHILDREN IN SCHOOLS","School Psychology (SPSY)","3 Credit Hours","Training and experience in administrating, scoring and interpreting cognitive measures for children and adolescents and writing reports. 30 clinical/field hours.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SPSY 77955","INSTRUCTIONAL ASSESSMENT FOR SCHOOL PSYCHOLOGISTS","School Psychology (SPSY)","3 Credit Hours","Training in administration, scoring and interpretation of normative and non-normative measures of academic achievement instructional environment and writing psychoeducational and team reports. 25 clinical field hours.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SPSY 77960","INTERVENTIONS WITH CULTURALLY DIVERSE STUDENTS","School Psychology (SPSY)","3 Credit Hours","Introduces skills to effectively and ethically implement educational and psychological interventions with culturally diverse children in educational settings. 5 clinical/field hours.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SPSY 77965","INSTRUCTIONAL INTERVENTIONS FOR SCHOOL PSYCHOLOGISTS","School Psychology (SPSY)","3 Credit Hours","Describes design and implementation of evidence-based interventions, methods of data collection and progress monitoring for school-based academic referrals within a problem-solving model. Requires 25 clinical field hours.Prerequisite:SPSY 77955; and doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SPSY 77970","LEGAL, ETHICAL AND PROFESSIONAL ISSUES IN SCHOOL PSYCHOLOGY","School Psychology (SPSY)","3 Credit Hours","Ethical, legal and professional issues of school psychologists and counselors will be explored. Considerations of law, regulations, ethical standards and codes of professional practice of related professional organizations will be addressed.Prerequisite:Doctoral standing.Schedule Type:LectureContact Hours:3 lectureGrade Mode:Standard Letter"
"SPSY 77971","ISSUES AND APPROACHES IN SCHOOL PSYCHOLOGY","School Psychology (SPSY)","3 Credit Hours","(Repeatable for a maximum of 6 credit hours) This course describes and illustrates contemporary elements and forces that impact professional service in school psychology practice. Students register for two consecutive semesters in conjunction with internship.Prerequisite:Doctoral standing; and permission.Schedule Type:Combined Lecture and LabContact Hours:3 otherGrade Mode:Satisfactory/Unsatisfactory-IP"
